n_cards,card_added,order_value,cardkingdom_subtotal,cardkingdom_shipping,cardkingdom_total,tcgplayer_subtotal,tcgplayer_shipping,tcgplayer_total,manapool_subtotal,manapool_shipping,manapool_total
39,"Prismari, the Inspiration",532.04,710.41,0.0,710.41,532.04,1.49,533.53,495.25,0.0,495.25
40,Decorum Dissertation,538.69,719.4,0.0,719.4,538.69,1.49,540.18,501.42,0.0,501.42
41,Faerie Mastermind,549.86,734.39,0.0,734.39,549.86,2.98,552.84,511.3,0.0,511.3
42,"Tippy-Toe, Terrific Partner",557.3,747.38,0.0,747.38,557.3,2.98,560.28,519.01,0.0,519.01
43,Cosmic Cube,571.47,763.37,0.0,763.37,571.47,1.49,572.96,532.34,0.0,532.34
44,Watery Grave,580.54,778.36,0.0,778.36,580.54,1.49,582.03,541.61,0.0,541.61
45,"Tezzeret, Cruel Captain",600.74,806.35,0.0,806.35,600.74,1.49,602.23,559.3,0.0,559.3
46,Formidable Speaker,608.47,817.34,0.0,817.34,608.47,1.49,609.96,566.41,0.0,566.41
47,Mossborn Hydra,618.57,834.33,0.0,834.33,618.57,1.49,620.06,575.73,0.0,575.73
48,Windswept Heath,630.03,847.32,0.0,847.32,630.03,1.49,631.52,585.1,0.0,585.1
49,Blood Crypt,639.09,860.31,0.0,860.31,639.09,2.98,642.07,594.47,0.0,594.47
50,Akroma's Will,655.95,878.3,0.0,878.3,655.95,2.98,658.93,607.44,0.0,607.44
51,Bitterbloom Bearer,671.42,901.29,0.0,901.29,671.42,1.49,672.91,621.35,0.0,621.35
52,Violent Outburst,676.52,906.28,0.0,906.28,676.52,1.49,678.01,623.07,0.0,623.07
53,Culling the Weak,687.08,916.27,0.0,916.27,687.08,1.49,688.57,630.36,0.0,630.36
54,Breeding Pool,696.49,931.26,0.0,931.26,696.49,1.49,697.98,638.64,0.0,638.64
55,Starting Town,704.32,942.25,0.0,942.25,704.32,1.49,705.81,646.07,0.0,646.07
56,Overgrown Tomb,713.25,954.24,0.0,954.24,713.25,1.49,714.74,654.9,0.0,654.9
57,Ruby Medallion,725.84,971.23,0.0,971.23,725.84,2.98,728.82,666.14,0.0,666.14
58,Cauldron of Essence,728.41,975.22,0.0,975.22,728.41,2.98,731.39,668.53,0.0,668.53
59,Fanatic of Rhonas,739.74,991.21,0.0,991.21,739.74,2.98,742.72,673.68,0.0,673.68
60,Traveling Chocobo,759.09,1014.2,0.0,1014.2,759.09,1.49,760.58,691.25,0.0,691.25
61,Awaken the Woods,773.31,1033.19,0.0,1033.19,773.31,1.49,774.8,705.66,0.0,705.66
62,Cool but Rude,780.32,1046.18,0.0,1046.18,780.32,1.49,781.81,712.79,0.0,712.79
63,Exalted Sunborn,794.52,1067.17,0.0,1067.17,794.52,1.49,796.01,725.29,0.0,725.29
64,Aetherflux Reservoir,815.37,1092.16,0.0,1092.16,815.37,1.49,816.86,746.11,0.0,746.11
65,Enduring Vitality,830.92,1109.15,0.0,1109.15,830.92,2.98,833.9,761.21,0.0,761.21
66,Godless Shrine,839.93,1123.14,0.0,1123.14,839.93,2.98,842.91,769.44,0.0,769.44
67,Thassa's Oracle,863.88,1151.13,0.0,1151.13,863.88,2.98,866.86,788.83,0.0,788.83
68,Enduring Tenacity,875.4,1168.12,0.0,1168.12,875.4,1.49,876.89,801.01,0.0,801.01
69,Wistfulness,882.3,1184.11,0.0,1184.11,882.3,1.49,883.79,809.07,0.0,809.07
70,Sire of Seven Deaths,901.33,1217.1,0.0,1217.1,901.33,1.49,902.82,827.46,0.0,827.46
71,Springleaf Parade,910.05,1231.09,0.0,1231.09,910.05,1.49,911.54,835.79,0.0,835.79
72,Cabal Ritual,923.21,1250.08,0.0,1250.08,923.21,1.49,924.7,849.33,0.0,849.33
73,Moonshadow,934.66,1267.07,0.0,1267.07,934.66,2.98,937.64,859.44,0.0,859.44
74,City of Brass,946.73,1283.06,0.0,1283.06,946.73,2.98,949.71,869.68,0.0,869.68
75,Terrasymbiosis,955.36,1297.05,0.0,1297.05,955.36,2.98,958.34,877.53,0.0,877.53
76,Beseech the Mirror,981.42,1321.04,0.0,1321.04,981.42,1.49,982.91,897.76,0.0,897.76
77,Thundering Falls,996.88,1342.03,0.0,1342.03,996.88,1.49,998.37,912.69,0.0,912.69
78,Hallowed Fountain,1003.37,1353.02,0.0,1353.02,1003.37,1.49,1004.86,919.41,0.0,919.41
79,Polluted Delta,1023.16,1381.01,0.0,1381.01,1023.16,1.49,1024.65,938.13,0.0,938.13
80,Ashnod's Altar,1039.03,1398.0,0.0,1398.0,1039.03,1.49,1040.52,945.99,0.0,945.99
81,"Ulamog, the Defiler",1055.85,1416.99,0.0,1416.99,1055.85,2.98,1058.83,960.57,0.0,960.57
82,Hex Magic,1057.72,1420.48,0.0,1420.48,1057.72,2.98,1060.7,961.57,0.0,961.57
83,Stock Up,1058.78,1421.47,0.0,1421.47,1058.78,2.98,1061.76,961.79,0.0,961.79
84,"Maha, Its Feathers Night",1081.45,1445.46,0.0,1445.46,1081.45,2.98,1084.43,982.61,0.0,982.61
85,"Excalibur, Sword of Eden",1097.59,1467.45,0.0,1467.45,1097.59,2.98,1100.57,998.71,0.0,998.71
86,Undercity Sewers,1111.15,1483.44,0.0,1483.44,1111.15,1.49,1112.64,1007.38,0.0,1007.38
