name,productId,set,tcg,ck,mp
Waterlogged Grove,519273,,0.6,1.79,0.65
Willowrush Verge,614435,,6.66,9.99,5.8
Yavimaya Coast,687588,,0.34,0.69,0.2
"Kinnan, Bonder Prodigy",212623,,13.54,17.99,13.51
Bloom Tender,671067,,13.32,16.99,13.01
Colossal Skyturtle,262770,,0.49,0.69,0.41
"Derevi, Empyrial Tactician",71518,,10.09,8.49,6.13
Emiel the Blessed,216252,,12.74,12.99,13.28
Ertai Resurrected,283607,,0.91,0.99,0.31
"Esika, God of the Tree",230163,,18.45,19.99,
Ignoble Hierarch,671175,,1.44,1.99,0.83
Ioreth of the Healing House,498609,,0.36,0.79,0.15
"Lavinia, Azorius Renegade",182131,,0.44,0.59,0.22
"Magda, Brazen Outlaw",229232,,2.63,3.49,2.6
"Marvin, Murderous Mimic",578074,,3.47,4.99,3.32
"Selvala, Heart of the Wilds",671244,,3.45,5.49,3.38
"Shang-Chi, Master of Kung Fu",697059,,11.25,16.99,10.72
"Tam, Mindful First-Year",671578,,0.44,0.59,0.15
Agatha's Soul Cauldron,512510,,37.71,39.99,37.5
Chromatic Orrery,215443,,38.69,44.99,30.94
Relic of Legends,283524,,2.55,1.99,0.72
Abrupt Decay,544849,,1.59,2.29,1.04
Dismember,688910,,3.21,3.49,1.88
Green Sun's Zenith,39050,,27.26,32.99,27.61
Oath of Teferi,162141,,0.9,0.79,0.44
Touch the Spirit Realm,262694,,0.91,1.29,0.86
"Aminatou, the Fateshifter",276336,,2.64,3.99,2.88
"Ashiok, Dream Render",188627,,1.32,1.29,0.61
"Dihada, Binder of Wills",282840,,13.98,24.99,14.32
"Nicol Bolas, Dragon-God",188630,,4.78,3.99,3.42
Saheeli Rai,122604,,1.51,1.99,1.36
"Teferi, Time Raveler",187194,,6.23,7.49,5.51
"Teferi, Who Slows the Sunset",248179,,3.17,5.49,3.46
"Tyvar, Jubilant Brawler",478299,,1.89,1.99,1.04
Mount Doom,488273,,7.5,9.49,7.41
Taiga,1585,,424.19,229.99,252.16
"Sisay, Weatherlight Captain",190933,,2.55,2.79,2.19
"Delney, Streetwise Lookout",533402,,33.77,44.99,31.24
Ghostly Pilferer,215728,,2.41,3.49,1.92
Glamer Gifter,671468,,0.22,0.35,0.15
Glint-Horn Buccaneer,192896,,8.27,12.99,6.32
Imperial Recruiter,239769,,13.98,16.99,13.46
"Kediss, Emberclaw Familiar",226634,,5.0,8.99,5.43
"Mister Fantastic, Reed Richards",696275,,0.32,0.39,0.15
"Niv-Mizzet, Parun",175582,,5.19,5.99,5.06
Pirated Copy,454840,,19.45,9.99,18.18
Reckless Fireweaver,123071,,0.53,0.99,0.2
Shao Jun,556335,,0.22,0.35,0.15
Siren Stormtamer,525762,,0.38,1.29,0.2
Storm-Kiln Artist,687338,,1.31,2.29,1.35
"Vaan, Street Thief",633403,,0.33,0.49,0.15
Vivi Ornitier,631015,,37.78,42.99,37.87
Weftstalker Ardent,641779,,0.69,2.29,0.52
Angel's Grace,689148,,2.66,3.99,2.56
Gifts Ungiven,276478,,5.1,5.49,4.53
Redirect Lightning,648709,,9.99,16.99,9.74
Trickery Charm,10326,,0.28,0.59,0.26
Idyllic Tutor,206667,,12.85,13.99,11.72
Curiosity,509516,,2.11,1.49,0.6
Ophidian Eye,14311,,10.59,13.99,11.21
Hallowed Fountain,656703,,6.49,10.99,6.72
Sacred Foundry,638912,,10.16,14.99,9.37
Steam Vents,656711,,13.88,17.99,11.45
Thundering Falls,532918,,15.46,20.99,14.93
Training Center,221359,,17.14,22.99,16.67
"Bruse Tarl, Boorish Herder",123975,,5.67,3.49,1.22
"Malcolm, Keen-Eyed Navigator",226327,,0.32,0.39,0.15
"Ajani, Nacatl Pariah",541279,,9.27,13.99,
Altar of the Wretched,526401,,1.39,2.99,
Goblin Engineer,190867,,9.94,10.99,9.35
Goblin Welder,94339,,23.97,23.99,25.0
Greedy Freebooter,526296,,0.36,0.79,0.15
Hope of Ghirapur,126430,,3.86,2.99,2.03
Impulsive Pilferer,227184,,0.33,0.35,0.15
Mardu Devotee,624397,,0.18,0.35,0.15
Ruthless Technomancer,262837,,3.48,4.99,2.43
Stitcher's Supplier,631512,,0.29,0.69,0.15
Tax Collector,556306,,0.29,0.59,0.15
The Jolly Balloon Man,575080,,0.95,0.69,0.36
"Yawgmoth, Thran Physician",191131,,31.72,32.99,27.71
Altar of Dementia,191735,,18.11,20.99,16.76
Bolas's Citadel,187187,,16.01,10.99,10.42
Prized Statue,273386,,0.36,0.79,0.29
Burnt Offering,4617,,1.42,1.29,1.37
Sacrifice,1550,,7.35,5.49,4.27
Claim the Firstborn,235618,,0.22,0.35,0.15
Lively Dirge,544422,,1.77,2.99,1.76
Ominous Harvest,687350,,0.45,0.49,0.15
Peer into the Abyss,215373,,3.15,3.99,2.59
Goblin Bombardment,239839,,2.36,3.99,2.39
Godless Shrine,638911,,9.01,13.99,8.23
Great Furnace,642853,,2.4,3.49,2.36
"Dargo, the Shipwrecker",226644,,0.21,0.35,0.15
Adaptive Automaton,591075,,0.44,2.29,0.69
Axgard Cavalry,591690,,0.26,0.35,0.15
Barkform Harvester,558679,,0.2,0.35,0.15
Battered Golem,11783,,0.49,0.69,0.46
Bloodfire Dwarf,7914,,0.3,0.39,0.25
Dwarven Armorer,3622,,3.96,5.99,2.51
Dwarven Bloodboiler,10244,,5.99,9.49,6.7
Dwarven Grunt,9460,,0.27,0.39,0.28
Dwarven Scorcher,10246,,0.24,0.39,0.27
Dwarven Trader,4486,,0.34,0.39,0.15
Enslaved Dwarf,9694,,0.32,0.35,0.34
"Gogo, Mysterious Mime",631124,,1.69,2.79,1.47
Knuckles the Echidna,643701,,16.87,21.99,17.39
Liberated Dwarf,10255,,0.27,0.35,0.26
"Magda, the Hoardmaster",544268,,0.66,1.79,0.15
Metallic Mimic,697416,,0.49,1.29,0.36
Pinnacle Monk,553299,,1.57,3.49,
Plundering Barbarian,243047,,0.27,0.39,0.15
Roaming Throne,525238,,50.92,54.99,47.45
Spark Mage,9497,,2.52,3.49,2.58
Three Tree Mascot,559479,,0.28,0.35,0.15
Twinshot Sniper,262155,,0.25,0.35,0.15
Universal Automaton,191572,,0.57,0.99,0.5
Xorn,243290,,7.43,9.99,7.5
Clock of Omens,60035,,3.92,5.99,3.73
Clown Car,287522,,11.0,16.99,11.24
Damping Sphere,162250,,1.11,0.99,0.64
Disruptor Flute,552584,,1.4,2.99,0.88
Firdoch Core,671721,,0.35,0.39,0.15
Flywheel Racer,491763,,0.16,0.35,0.15
Grafdigger's Cage,192909,,3.46,3.49,2.08
Legion Extruder,544937,,3.34,4.99,3.17
Lifecraft Engine,610768,,0.37,0.49,0.15
Liquimetal Torque,239836,,4.11,4.49,2.95
Maskwood Nexus,553540,,1.36,1.99,1.13
Peter Parker's Camera,651386,,1.44,1.99,1.04
Pithing Needle,247969,,0.39,0.79,0.3
Portal to Phyrexia,451962,,38.56,54.99,43.08
Sculpting Steel,452426,,1.59,2.99,1.81
Smuggler's Copter,122743,,0.95,1.49,0.45
Stalactite Dagger,672032,,0.26,0.35,0.15
Torpor Orb,39593,,5.61,6.99,3.91
Unlicensed Hearse,544883,,0.34,0.99,0.15
Abrade,688837,,0.27,0.35,0.15
Bottle-Cap Blast,541424,,3.95,5.99,2.34
Chaos Warp,687360,,0.35,0.69,0.19
Galvanic Blast,36340,,2.09,2.99,1.87
Lightning Bolt,1479,,2.4,1.99,0.62
Pyrokinesis,4217,,4.94,3.49,2.08
Return the Favor,688928,,0.43,0.39,0.15
Sudden Shock,14382,,0.53,0.35,0.15
Tibalt's Trickery,230206,,10.1,16.99,10.4
Untimely Malfunction,576504,,8.18,11.99,7.29
Zoyowa's Justice,525289,,0.31,0.35,0.15
Shatterskull Smashing,222030,,9.68,13.99,
Sundering Eruption,552583,,0.99,1.99,
Urza's Saga,238619,,41.59,49.99,39.43
"Tezzeret, Cruel Captain",638908,,20.2,27.99,17.69
Barbarian Ring,552632,,0.27,0.49,0.15
Command Beacon,624449,,8.62,10.99,7.29
Hammerheim,3896,,14.78,20.99,15.1
Holdout Settlement,111039,,0.23,0.39,0.15
"Kavaron, Memorial World",641943,,1.16,1.79,0.26
Mountain,206025,,1.53,0.35,0.15
Mutavault,69900,,6.13,6.49,3.99
"Shinka, the Bloodsoaked Keep",254611,,14.7,18.99,14.24
"Sokenzan, Crucible of Defiance",262172,,3.15,3.99,2.96
Survivors' Encampment,136623,,0.42,1.29,0.36
Treasure Vault,615181,,1.03,2.49,1.04
Volatile Fault,526363,,0.33,0.39,0.15
Tandem Lookout,58267,,0.99,1.29,0.52
Jeweled Amulet,4751,,8.69,9.49,7.36
Mishra's Bauble,451925,,2.09,2.99,1.76
Sensei's Divining Top,12160,,46.89,54.99,40.1
Talisman of Creativity,687630,,1.93,2.99,1.71
Urza's Bauble,4927,,8.72,7.49,5.72
Brainstorm,4611,,2.2,2.49,1.2
Cyclonic Rift,689345,,33.32,34.99,29.43
Desperate Ritual,11976,,5.75,6.99,6.4
Gut Shot,98817,,5.3,8.49,4.98
Virtue of Courage,513885,,2.38,3.99,
Wild Slash,95314,,0.26,0.35,0.15
Displacement Wave,100095,,0.4,0.79,0.39
Light Up the Stage,689923,,0.99,0.39,0.15
Ponder,519494,,1.88,3.99,1.9
Preordain,688900,,2.16,1.29,0.36
Sea Gate Restoration,222038,,40.05,54.99,
Strike It Rich,240149,,2.8,2.79,2.49
Timetwister,448965,,798.33,1099.99,989.88
Fiery Islet,519239,,4.04,5.49,4.06
Riverpyre Verge,614418,,20.32,27.99,20.1
Seat of the Synod,642862,,0.78,1.29,0.6
Shivan Reef,687534,,0.3,0.69,0.2
Cloud of Faeries,457458,,0.26,0.59,0.15
Displacer Kitten,272901,,30.87,34.99,26.8
Felidar Guardian,126480,,3.18,1.79,1.76
Peregrine Drake,458178,,0.25,0.69,0.15
Phyrexian Metamorph,642804,,2.39,3.99,2.29
Skycoach Conductor,688971,,0.32,0.49,
Sowing Mycospawn,552738,,1.98,2.79,1.04
Spellseeker,167811,,15.8,24.99,16.99
Springheart Nantuko,552859,,4.88,6.99,4.1
Expedition Map,591079,,0.8,2.79,1.02
Eladamri's Call,191062,,10.84,13.99,9.75
Emerald Charm,457587,,0.1,0.35,0.15
Ephemerate,191568,,5.15,5.99,4.95
Louisoix's Sacrifice,633987,,0.43,0.49,0.15
Path to Exile,499536,,1.77,2.49,1.14
Reap and Sow,11691,,0.26,0.35,0.26
Sylvan Scrying,105272,,0.37,0.49,0.15
Wargate,204599,,3.49,,3.86
Growing Rites of Itlimoc,524220,,8.83,13.99,
Deserted Temple,552268,,0.51,1.29,0.25
Dryad Arbor,579308,,3.55,3.99,3.63
"Minamo, School at Water's Edge",210357,,54.84,74.99,56.29
Temple Garden,656713,,7.5,9.99,7.29
"Yoshimaru, Ever Faithful",262832,,8.51,8.49,6.25
Dosan the Falling Leaf,11981,,27.68,39.99,36.54
Elves of Deep Shadow,13270,,2.66,3.99,2.86
Tinder Wall,4919,,1.76,0.99,0.91
Wild Cantor,531170,,0.24,0.35,0.15
Autumn's Veil,47710,,0.62,0.69,0.3
Manamorphose,18700,,4.91,5.99,4.78
Noxious Revival,39555,,6.93,7.99,5.39
Summoner's Pact,234026,,5.12,4.49,3.12
Vial Smasher the Fierce,578922,,2.7,2.79,1.35
Drannith Magistrate,212115,,14.1,16.99,9.35
Grand Arbiter Augustin IV,276439,,18.46,16.99,15.61
"Urza, Lord High Artificer",503426,,15.23,19.99,13.97
Cursed Totem,240154,,1.03,1.49,0.84
Talisman of Hierarchy,687633,,0.41,0.99,0.37
Talisman of Progress,499820,,0.41,0.79,0.27
Time Sieve,204588,,7.49,9.49,7.18
Mana Drain,544246,,52.66,64.99,54.26
Muddle the Mixture,531115,,2.52,2.79,1.85
Retraction Helix,79146,,0.29,0.35,0.15
Strix Serenade,552621,,1.8,2.79,0.52
Whir of Invention,126329,,6.03,7.49,5.21
Toxic Deluge,687372,,4.46,6.49,3.38
Blind Obedience,513356,,5.52,5.99,4.35
Steal Enchantment,5753,,8.17,5.99,8.28
Morphic Pool,267057,,28.96,37.99,28.13
Sea of Clouds,267055,,17.86,27.99,18.75
Spire of Industry,642867,,0.33,0.49,0.15
"Tivit, Seller of Secrets",269717,,3.82,6.99,3.85
Subtlety,239741,,15.87,17.99,13.19
Firestorm,6027,,53.58,9.49,9.26
Molten Disaster,14942,,0.52,0.99,0.45
Vision Quest,696864,,0.38,0.49,0.15
Curse of Opulence,624180,,3.27,4.49,2.57
"Ishai, Ojutai Dragonspeaker",124135,,5.73,4.49,3.32
Aftermath Analyst,533918,,0.84,1.29,0.77
Allosaurus Shepherd,216173,,51.17,54.99,50.38
"Ashaya, Soul of the Wild",577808,,16.21,17.99,14.57
Blossoming Tortoise,512321,,5.79,6.49,5.19
Collector Ouphe,191057,,3.56,3.49,2.08
Elvish Reclaimer,192617,,5.99,5.99,4.66
Famished Worldsire,642982,,2.64,3.99,2.08
Horizon Explorer,641983,,2.47,3.49,2.34
Icetill Explorer,644286,,13.92,22.99,14.51
Lotus Cobra,559826,,6.33,6.49,4.5
"Nissa, Resurgent Animist",495610,,26.56,37.99,27.6
Rootpath Purifier,452480,,10.67,8.99,8.8
Six,552272,,5.05,7.99,4.78
Sylvan Safekeeper,548583,,5.26,7.99,5.21
Tiller Engine,282900,,23.92,37.99,24.7
Amulet of Vigor,34328,,53.47,57.99,50.45
Null Rod,6076,,113.7,129.99,118.15
Trinisphere,11660,,29.56,42.99,30.95
Eldrazi Confluence,553171,,11.79,16.99,10.08
Natural Order,235505,,28.57,21.99,16.29
Scapeshift,168720,,47.06,54.99,49.15
Exploration,457191,,32.2,39.99,32.02
Food Chain,276918,,42.64,29.99,40.57
Root Maze,5693,,6.41,6.99,6.02
Spelunking,524416,,3.99,3.99,3.51
Arid Archway,544329,,0.62,1.29,0.61
"Boseiju, Who Shelters All",11953,,18.38,20.99,17.53
Buried Ruin,642848,,0.38,0.99,0.37
Castle Garenbrig,199288,,7.73,11.99,7.29
Conduit Pylons,544694,,0.29,0.79,0.15
Crumbling Vestige,110689,,0.16,0.35,0.15
Crystal Vein,5019,,9.47,1.99,1.78
Echoing Deeps,525285,,0.64,0.69,0.3
Fabled Passage,687665,,1.03,1.49,0.92
Field of the Dead,192562,,29.88,29.99,28.85
Geier Reach Sanitarium,525830,,2.88,3.99,1.51
Ghost Quarter,499590,,0.43,1.29,0.37
Havenwood Battleground,3665,,1.22,0.59,0.36
Hickory Woodlot,6553,,4.16,4.49,4.68
Horizon of Progress,553202,,4.68,4.99,4.59
Lazotep Quarry,553207,,6.27,7.99,5.41
Lotus Field,687695,,2.13,3.49,1.95
Mirrorpool,110694,,2.2,3.99,2.52
Pit of Offerings,525127,,0.38,0.59,0.26
Prismatic Vista,190748,,34.25,47.99,26.81
Sanctum of Eternity,196429,,8.4,13.99,7.28
Snow-Covered Forest,190653,,1.1,1.49,0.8
Strip Mine,1938,,17.42,11.99,11.97
The Mycosynth Gardens,642857,,0.35,0.99,0.33
The Tabernacle at Pendrell Vale,4046,,2899.99,4299.99,3332.31
Urza's Cave,548592,,1.08,2.29,0.52
Vesuva,553224,,2.45,4.49,2.17
Wasteland,662089,,13.21,14.99,9.37
"Yavimaya, Cradle of Growth",553219,,16.68,20.99,14.57
"Lumra, Bellow of the Woods",541369,,20.1,29.99,20.11
"Abigale, Eloquent First-Year",670978,,0.42,0.49,0.15
Archon of Emeria,221969,,2.1,2.49,1.01
Aven Interrupter,544403,,3.02,4.49,2.64
Basking Broodscale,552176,,0.17,0.35,0.15
Carrion Feeder,10885,,4.74,4.49,3.56
Eidolon of Rhetoric,82243,,0.62,1.29,0.6
Ethersworn Canonist,27666,,5.66,3.99,2.49
Faeburrow Elder,671259,,0.42,0.79,0.33
"Felothar, Dawn of the Abzan",625133,,0.28,0.49,0.15
"Hammerhead, Maggia Boss",697259,,0.79,,0.47
Incubation Druid,631307,,1.05,1.79,0.96
Knight of the Reliquary,28557,,2.13,1.79,1.4
Moonshadow,671780,,11.45,16.99,10.11
Patrol Signaler,27177,,0.53,0.79,0.5
Patrolling Peacemaker,642782,,0.91,0.99,0.77
"Rishkar, Peema Renegade",559913,,0.36,0.59,0.17
Rosie Cotton of South Lane,498377,,0.34,0.39,0.15
Skyclave Apparition,687530,,0.25,0.49,0.15
Strangleroot Geist,57606,,0.27,0.35,0.15
Walking Ballista,631496,,7.41,8.99,7.17
Wall of Roots,5291,,0.5,0.49,0.15
Warden of the Grove,625027,,2.32,2.79,2.05
Young Wolf,600501,,0.31,0.35,0.15
Ashnod's Altar,3360,,15.87,16.99,7.86
Thousand-Year Elixir,236115,,14.3,23.99,14.58
Cryptolith Rite,116371,,10.44,12.99,8.55
Deafening Silence,199001,,2.22,1.79,1.01
Earthcraft,5529,,260.45,349.99,312.6
Insidious Roots,535300,,1.21,2.79,0.72
Leyline of Abundance,513346,,1.56,1.49,0.94
Survival of the Fittest,4416,,396.95,94.99,119.83
Centaur Garden,9591,,1.38,1.49,1.62
