n_cards,card_added,order_value,cardkingdom_subtotal,cardkingdom_shipping,cardkingdom_total,tcgplayer_subtotal,tcgplayer_shipping,tcgplayer_total,manapool_subtotal,manapool_shipping,manapool_total
85,Godless Shrine,1208.11,1270.52,0.0,1270.52,1208.11,1.49,1209.6,1171.7,0.0,1171.7
86,Thassa's Oracle,1231.23,1295.38,0.0,1295.38,1231.23,1.49,1232.72,1195.16,0.0,1195.16
87,Enduring Tenacity,1243.14,1307.59,0.0,1307.59,1243.14,1.49,1244.63,1206.77,0.0,1206.77
88,Wistfulness,1252.48,1317.41,0.0,1317.41,1252.48,0.0,1252.48,1215.5,0.0,1215.5
89,Sire of Seven Deaths,1270.36,1336.63,0.0,1336.63,1270.36,1.49,1271.85,1232.13,0.0,1232.13
90,Springleaf Parade,1278.48,1345.35,0.0,1345.35,1278.48,1.49,1279.97,1240.4,0.0,1240.4
91,"Loki, God of Mischief (Borderless)",1288.65,1356.38,0.0,1356.38,1288.65,1.49,1290.14,1250.77,0.0,1250.77
92,Cabal Ritual,1306.01,1374.52,0.0,1374.52,1306.01,1.49,1307.5,1267.52,0.0,1267.52
93,Moonshadow,1317.42,1386.25,0.0,1386.25,1317.42,1.49,1318.91,1278.46,0.0,1278.46
94,City of Brass,1327.08,1396.35,0.0,1396.35,1327.08,1.49,1328.57,1288.24,0.0,1288.24
95,Terrasymbiosis,1336.06,1404.99,0.0,1404.99,1336.06,1.49,1337.55,1296.67,0.0,1296.67
96,Norman Osborn (Borderless),1351.45,1419.99,0.0,1419.99,1351.45,0.0,1351.45,1311.2,0.0,1311.2
97,"Captain America, First Avenger (Borderless)",1370.1,1438.28,0.0,1438.28,1370.1,1.49,1371.59,1329.64,0.0,1329.64
98,Beseech the Mirror,1393.97,1462.09,0.0,1462.09,1393.97,1.49,1395.46,1352.52,0.0,1352.52
99,Trouble in Pairs (Borderless),1409.66,1478.89,0.0,1478.89,1409.66,1.49,1411.15,1367.74,0.0,1367.74
100,The Ten Rings (Borderless),1427.13,1496.4,0.0,1496.4,1427.13,1.49,1428.62,1384.6,0.0,1384.6
