card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,band
Pinnacle Monk,1.7,3.49,1.68,105.29411764705884,-1.176470588235295,3507.0,live,$1-2
Witch Enchanter,4.31,6.49,3.49,50.58004640371232,-19.025522041763328,3480.0,live,$2-5
Spell Pierce,0.29,0.35,0.15,20.689655172413797,-48.27586206896552,3690.0,live,$0-1
Emeritus of Ideation,5.25,7.99,4.62,52.1904761904762,-11.999999999999998,2881.0,live,$5-10
Bender's Waterskin,0.81,1.79,0.75,120.98765432098764,-7.407407407407414,4117.0,live,$0-1
Dina's Guidance,0.97,0.79,0.15,-18.55670103092783,-84.5360824742268,3176.0,live,$0-1
Practiced Offense,1.29,2.49,0.26,93.0232558139535,-79.84496124031007,4274.0,live,$1-2
Cool but Rude,8.6,12.99,7.8,51.04651162790699,-9.302325581395348,2758.0,live,$5-10
Mountain (0270),1.16,1.29,0.36,11.20689655172415,-68.9655172413793,6904.0,live,$1-2
The Mind Stone,57.53,79.99,62.52,39.040500608378224,8.673735442377893,2492.0,live,$50-100
Germination Practicum,10.26,9.99,8.33,-2.631578947368417,-18.81091617933723,2502.0,live,$10-20
Plains (0267),1.22,1.79,0.6,46.72131147540984,-50.81967213114754,6778.0,live,$1-2
Requisition Raid,0.31,0.35,0.15,12.903225806451609,-51.61290322580645,3359.0,live,$0-1
Island (0268),1.06,1.49,0.48,40.56603773584905,-54.71698113207547,6735.0,live,$1-2
Forest (0271),0.82,1.79,0.37,118.29268292682929,-54.8780487804878,6556.0,live,$0-1
Disciple of Freyalise,2.57,4.49,1.64,74.7081712062257,-36.18677042801556,3015.0,live,$2-5
Genji Glove,11.36,11.99,5.9,5.545774647887331,-48.06338028169014,2421.0,live,$10-20
Improvisation Capstone,10.47,16.99,9.37,62.27316141356254,-10.506208213944616,2404.0,live,$10-20
"Shuri, Wakandan Inventor",0.39,0.69,0.15,76.9230769230769,-61.53846153846154,5051.0,live,$0-1
Bulk Up,0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,3106.0,live,$0-1
Bitter Triumph,0.28,0.35,0.15,24.999999999999982,-46.42857142857144,3343.0,live,$0-1
"Loki, God of Mischief",2.59,5.99,2.17,131.2741312741313,-16.216216216216214,4095.0,live,$2-5
Hare Apparent,2.32,3.49,0.91,50.43103448275864,-60.77586206896552,8091.0,live,$2-5
"Prismari, the Inspiration",4.07,4.99,3.12,22.6044226044226,-23.34152334152334,2276.0,live,$2-5
Studious First-Year,0.31,0.35,0.15,12.903225806451609,-51.61290322580645,4480.0,live,$0-1
Mirkwood Bats,1.34,1.49,1.05,11.19402985074626,-21.64179104477612,2781.0,live,$1-2
Decorum Dissertation,6.97,8.49,5.21,21.80774748923961,-25.251076040172165,2268.0,live,$5-10
Accursed Marauder,0.37,0.39,0.15,5.405405405405411,-59.45945945945946,2829.0,live,$0-1
"Captain America, Living Legend",0.3,0.35,0.15,16.666666666666664,-50.0,3147.0,live,$0-1
Restoration Seminar,3.33,4.49,3.12,34.83483483483484,-6.306306306306306,2297.0,live,$2-5
"Witherbloom, the Balancer",4.08,5.49,3.11,34.55882352941177,-23.77450980392157,2192.0,live,$2-5
The Serpent Society,0.7,1.29,0.15,84.28571428571429,-78.57142857142857,3348.0,live,$0-1
The Scarlet Witch,0.6,0.99,0.15,65.0,-75.0,2758.0,live,$0-1
Dark Fortress,2.56,3.99,2.54,55.859375,-0.7812500000000007,3487.0,live,$2-5
Exsanguinate,0.38,0.79,0.15,107.89473684210526,-60.526315789473685,2639.0,live,$0-1
Hexing Squelcher,20.98,29.99,18.39,42.94566253574832,-12.34509056244042,2249.0,live,$20-50
An Offer You Can't Refuse,3.01,4.99,2.34,65.78073089700999,-22.259136212624583,2327.0,live,$2-5
The Vision,0.72,1.29,0.26,79.16666666666667,-63.888888888888886,2965.0,live,$0-1
Duty Beyond Death,0.27,0.35,0.15,29.62962962962961,-44.44444444444445,2739.0,live,$0-1
World War Hulk,0.96,2.49,0.76,159.37500000000003,-20.83333333333333,3290.0,live,$0-1
Dreamroot Cascade,0.85,1.79,0.51,110.58823529411764,-40.0,2644.0,live,$0-1
Buried Alive,1.01,2.29,0.51,126.73267326732672,-49.50495049504951,2525.0,live,$1-2
Arc Reactor,1.04,1.99,0.39,91.34615384615384,-62.5,3480.0,live,$1-2
"Mjolnir, Hammer of Thor",22.12,32.99,23.39,49.14104882459313,5.741410488245929,2168.0,live,$20-50
"Mister Fantastic, Reed Richards (Borderless)",0.58,0.59,0.15,1.7241379310344844,-74.13793103448275,3191.0,live,$0-1
Mathemagics,2.91,3.49,2.85,19.93127147766323,-2.0618556701030943,2219.0,live,$2-5
Pensive Professor,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,2736.0,live,$0-1
Gleaming Bastion,1.98,4.99,1.55,152.02020202020202,-21.71717171717172,3468.0,live,$1-2
Emeritus of Abundance,2.51,2.99,1.56,19.12350597609564,-37.848605577689234,2195.0,live,$2-5
Urza's Cave,1.12,1.99,0.51,77.6785714285714,-54.46428571428572,2726.0,live,$1-2
Echocasting Symposium,3.71,4.49,2.54,21.024258760107823,-31.536388140161726,2144.0,live,$2-5
Hawkeye's Bow,0.25,0.35,0.15,39.99999999999999,-40.0,6052.0,live,$0-1
Hidden Lair,2.66,6.49,2.08,143.98496240601503,-21.80451127819549,3431.0,live,$2-5
Arcane Signet,0.62,0.99,0.46,59.67741935483871,-25.80645161290322,3314.0,live,$0-1
Harmonized Trio,0.57,0.59,0.15,3.5087719298245648,-73.68421052631578,2591.0,live,$0-1
Icetill Explorer,14.78,21.99,14.77,48.78213802435724,-0.0676589986468186,2211.0,live,$10-20
The Ten Rings,17.4,24.99,17.71,43.62068965517242,1.781609195402312,2274.0,live,$10-20
Sleight of Hand,0.29,0.35,0.15,20.689655172413797,-48.27586206896552,3192.0,live,$0-1
Marionette Apprentice,1.01,1.99,0.47,97.02970297029702,-53.46534653465347,2436.0,live,$1-2
Revitalizing Repast,1.06,1.99,0.98,87.73584905660377,-7.547169811320761,2508.0,live,$1-2
Training Compound,1.69,3.99,1.08,136.09467455621305,-36.094674556213015,3397.0,live,$1-2
Sundering Eruption,1.04,1.79,1.02,72.11538461538461,-1.923076923076925,3207.0,live,$1-2
"Lorehold, the Historian",1.77,1.49,0.96,-15.819209039548024,-45.76271186440678,2087.0,live,$1-2
Gathering Place,1.64,3.49,1.77,112.80487804878052,7.92682926829269,3383.0,live,$1-2
Traumatic Critique,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,2887.0,live,$0-1
Professor Dellian Fel,4.38,6.99,3.64,59.589041095890416,-16.89497716894977,2303.0,live,$2-5
Prismari Charm,0.34,0.35,0.15,2.9411764705882213,-55.88235294117647,3461.0,live,$0-1
"Taskmaster, Mercenary Mimic",0.44,0.69,0.15,56.8181818181818,-65.90909090909092,2786.0,live,$0-1
Super-Soldier Serum,0.8,1.29,0.42,61.24999999999999,-47.5,3353.0,live,$0-1
"Ultron, Artificial Malevolence",12.69,19.99,13.35,57.52561071710007,5.200945626477543,2084.0,live,$10-20
Witherbloom Charm,0.31,0.35,0.15,12.903225806451609,-51.61290322580645,3312.0,live,$0-1
"Quandrix, the Proof",2.15,0.99,1.45,-53.95348837209302,-32.558139534883715,2013.0,live,$2-5
Exhibition Tidecaller,0.66,0.59,0.15,-10.606060606060614,-77.27272727272727,2863.0,live,$0-1
Abrade,0.3,0.39,0.15,30.00000000000001,-50.0,2780.0,live,$0-1
Hydroelectric Specimen,0.93,1.49,0.47,60.21505376344085,-49.462365591397855,2648.0,live,$0-1
Consign to Memory,4.01,5.99,2.53,49.37655860349128,-36.90773067331671,3676.0,live,$2-5
Spectacular Spider-Man (Borderless),9.11,8.49,3.26,-6.805708013172331,-64.21514818880351,2006.0,live,$5-10
Garruk's Uprising,0.43,0.99,0.26,130.2325581395349,-39.53488372093023,2662.0,live,$0-1
Untimely Malfunction,8.83,11.99,7.84,35.78708946772367,-11.211778029445076,2025.0,live,$5-10
"Arnyn, Deathbloom Botanist",0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,2479.0,live,$0-1
"Invisible Woman, Sue Storm (Borderless)",0.33,0.35,0.15,6.060606060606049,-54.54545454545456,2142.0,live,$0-1
"Blech, Loafing Pest",0.42,0.49,0.15,16.666666666666668,-64.28571428571429,2468.0,live,$0-1
Bojuka Bog,1.03,2.29,0.92,122.33009708737865,-10.679611650485436,3356.0,live,$1-2
Lorien Revealed,4.73,6.49,3.9,37.20930232558139,-17.547568710359418,2952.0,live,$2-5
M.O.D.O.K.,4.27,7.99,3.8,87.11943793911009,-11.007025761124115,2096.0,live,$2-5
Petrified Hamlet,0.61,0.49,0.15,-19.672131147540984,-75.40983606557377,3061.0,live,$0-1
Fanatic of Rhonas,13.97,16.99,13.49,21.61775232641373,-3.435934144595565,2027.0,live,$10-20
Evolution Witness,0.29,0.79,0.15,172.41379310344828,-48.27586206896552,2525.0,live,$0-1
"Silverquill, the Disputant",1.99,1.29,1.01,-35.175879396984925,-49.246231155778894,1900.0,live,$1-2
Blood Crypt,9.43,12.99,9.1,37.751855779427366,-3.4994697773064694,2041.0,live,$5-10
Blazing Firesinger,0.32,0.35,0.15,9.374999999999991,-53.125,2892.0,live,$0-1
Daydream,0.4,0.35,0.15,-12.50000000000001,-62.5,3099.0,live,$0-1
Cosmic Cube,12.43,17.99,11.46,44.73049074818986,-7.803700724054698,1952.0,live,$10-20
The Wondrous Wasp,0.69,1.29,0.15,86.95652173913045,-78.26086956521738,3447.0,live,$0-1
Victimize,0.5,1.29,0.2,158.0,-60.0,2550.0,live,$0-1
Tamiyo's Safekeeping,6.61,8.99,4.91,36.006051437216335,-25.718608169440245,2163.0,live,$5-10
Formidable Speaker,8.11,10.99,7.18,35.51171393341555,-11.467324290998764,2209.0,live,$5-10
Bridgeworks Battle,0.94,1.99,0.89,111.70212765957449,-5.319148936170206,2698.0,live,$0-1
"The Mighty Thor, Jane Foster",0.44,0.49,0.15,11.36363636363636,-65.90909090909092,2825.0,live,$0-1
Culling the Weak,10.35,9.99,7.37,-3.478260869565212,-28.79227053140097,1765.0,live,$10-20
Sol Ring,1.89,2.79,1.53,47.61904761904763,-19.04761904761904,2787.0,live,$1-2
King T'Challa,11.7,18.99,9.46,62.30769230769231,-19.14529914529913,2136.0,live,$10-20
The Earth Crystal,12.13,17.99,11.72,48.30997526793072,-3.3800494641385006,1776.0,live,$10-20
The Astonishing Ant-Man,0.31,0.49,0.15,58.06451612903225,-51.61290322580645,2605.0,live,$0-1
Warren Soultrader,14.84,20.99,14.18,41.442048517520206,-4.447439353099732,1858.0,live,$10-20
Mirkwood Bats (Borderless),1.65,1.79,0.98,8.484848484848492,-40.60606060606061,2063.0,live,$1-2
Swiftfoot Boots,2.99,3.99,2.17,33.44481605351171,-27.424749163879607,2089.0,live,$2-5
Jennifer Walters,11.87,17.99,11.42,51.558550968828975,-3.791069924178596,2036.0,live,$10-20
Fellwar Stone,1.04,1.49,0.78,43.26923076923077,-25.0,2494.0,live,$1-2
"The Thing, Ben Grimm (Borderless)",0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,2033.0,live,$0-1
Tony Stark,6.29,10.99,5.21,74.72178060413354,-17.170111287758345,1855.0,live,$5-10
Terrasymbiosis,7.36,13.99,7.63,90.08152173913044,3.668478260869559,1794.0,live,$5-10
Redirect Lightning,12.22,17.99,10.3,47.21767594108018,-15.71194762684124,1839.0,live,$10-20
Steam Vents,13.87,16.99,10.68,22.494592645998555,-22.999279019466474,2031.0,live,$10-20
"Human Torch, Johnny Storm (Borderless)",0.31,0.35,0.15,12.903225806451609,-51.61290322580645,2030.0,live,$0-1
Emeritus of Conflict,1.4,0.99,0.78,-29.28571428571428,-44.28571428571428,2104.0,live,$1-2
Noxious Newt,0.32,0.39,0.15,21.875000000000004,-53.125,4166.0,live,$0-1
Stomping Ground,6.66,9.99,6.51,50.0,-2.2522522522522577,1903.0,live,$5-10
The Ooze,3.31,4.99,3.12,50.75528700906344,-5.740181268882173,1992.0,live,$2-5
Patchwork Banner,3.49,4.49,1.87,28.653295128939828,-46.41833810888252,1974.0,live,$2-5
Coruscation Mage,2.01,2.29,1.04,13.930348258706482,-48.25870646766168,2227.0,live,$2-5
Emeritus of Truce,1.27,0.99,0.61,-22.047244094488192,-51.96850393700787,1960.0,live,$1-2
Mind into Matter,0.4,0.49,0.15,22.499999999999996,-62.5,2341.0,live,$0-1
Boggart Trawler,0.87,2.29,0.7000000000000001,163.2183908045977,-19.540229885057464,2703.0,live,$0-1
Namor the Sub-Mariner,7.76,12.99,6.7700000000000005,67.39690721649485,-12.757731958762877,2244.0,live,$5-10
Molten-Core Maestro,0.66,0.49,0.15,-25.75757575757576,-77.27272727272727,2493.0,live,$0-1
Collective Resistance,1.29,2.99,1.15,131.78294573643413,-10.852713178294584,2489.0,live,$1-2
Bruce Banner,6.42,9.99,5.72,55.60747663551402,-10.903426791277262,1860.0,live,$5-10
Iron Man Armor,3.97,8.49,3.86,113.85390428211586,-2.770780856423182,2076.0,live,$2-5
Glaring Fleshraker,0.8,2.29,0.41,186.25,-48.75000000000001,3226.0,live,$0-1
Goldspan Dragon,6.17,7.49,5.63,21.393841166936795,-8.752025931928689,2075.0,live,$5-10
"The Sentry, Golden Guardian",0.36,0.49,0.15,36.11111111111112,-58.333333333333336,2683.0,live,$0-1
Watery Grave,9.56,15.99,9.33,67.25941422594141,-2.405857740585778,1870.0,live,$5-10
Faerie Mastermind,11.92,15.99,10.6,34.144295302013425,-11.073825503355708,1949.0,live,$10-20
Overgrown Tomb,9.33,13.99,7.81,49.94640943193998,-16.29153269024652,1919.0,live,$5-10
Arcane Signet,0.69,0.99,0.44,43.478260869565226,-36.23188405797101,2706.0,live,$0-1
"Ozolith, the Shattered Spire",5.0,7.49,4.82,49.8,-3.5999999999999943,1915.0,live,$5-10
Moonshaker Cavalry,6.19,8.99,6.12,45.23424878836833,-1.130856219709213,2036.0,live,$5-10
Heroic Feast,0.3,0.49,0.15,63.33333333333334,-50.0,3346.0,live,$0-1
Ark of Hunger,0.36,0.49,0.15,36.11111111111112,-58.333333333333336,2078.0,live,$0-1
Enduring Vitality,16.73,17.99,14.5,7.531380753138063,-13.329348475791994,1755.0,live,$10-20
Boltwave,2.52,3.49,1.04,38.4920634920635,-58.730158730158735,2451.0,live,$2-5
"Storm, Windrider",0.45,0.49,0.15,8.888888888888884,-66.66666666666667,2395.0,live,$0-1
Ephemerate,5.41,6.49,5.12,19.963031423290204,-5.360443622920518,2175.0,live,$5-10
Unexpected Windfall,3.46,4.99,2.85,44.21965317919076,-17.630057803468205,1793.0,live,$2-5
Ripples of Undeath,5.91,9.99,5.41,69.03553299492386,-8.460236886632826,1704.0,live,$5-10
"Wolverine, Fierce Fighter",0.41,0.49,0.15,19.512195121951223,-63.41463414634146,2215.0,live,$0-1
Temple Garden,7.85,10.99,7.3,40.00000000000001,-7.006369426751591,1872.0,live,$5-10
"Captain America, Super-Soldier",3.83,6.99,2.65,82.50652741514361,-30.809399477806792,1915.0,live,$2-5
"Shang-Chi, Master of Kung Fu",9.99,17.99,10.3,80.08008008008007,3.103103103103108,1937.0,live,$5-10
Hallowed Fountain,7.03,9.99,5.21,42.10526315789473,-25.88904694167852,1893.0,live,$5-10
Restoration Magic,2.21,2.79,1.12,26.24434389140272,-49.32126696832579,2038.0,live,$2-5
"Kutzil, Malamet Exemplar",4.49,3.99,2.5,-11.135857461024498,-44.32071269487751,1842.0,live,$2-5
Sacred Foundry,10.13,14.99,9.37,47.976307996051325,-7.502467917078001,1835.0,live,$10-20
Brain Freeze,3.15,4.99,2.8000000000000003,58.412698412698425,-11.1111111111111,1689.0,live,$2-5
Castle Doom,0.55,0.49,0.15,-10.90909090909092,-72.72727272727273,3071.0,live,$0-1
Norman Osborn,17.64,18.99,17.6,7.653061224489783,-0.2267573696145076,1709.0,live,$10-20
Brotherhood Regalia,8.93,15.99,7.28,79.05935050391938,-18.477043673012314,1705.0,live,$5-10
Malevolent Rumble,0.34,0.99,0.15,191.17647058823525,-55.88235294117647,4635.0,live,$0-1
Hardened Academic,0.42,0.49,0.15,16.666666666666668,-64.28571428571429,2568.0,live,$0-1
Breeding Pool,9.52,15.99,9.25,67.9621848739496,-2.8361344537815083,1755.0,live,$5-10
Helping Hand,0.24,0.35,0.15,45.83333333333333,-37.5,2262.0,live,$0-1
Command Tower,0.34,0.99,0.25,191.17647058823525,-26.470588235294123,2424.0,live,$0-1
Kaya's Ghostform,1.94,3.99,1.37,105.67010309278352,-29.381443298969064,1770.0,live,$1-2
Weftstalker Ardent,0.7,2.29,0.4,227.1428571428572,-42.85714285714285,2076.0,live,$0-1
Springheart Nantuko,5.59,7.49,3.9,33.98926654740609,-30.23255813953488,1685.0,live,$5-10
Thraben Charm,0.33,0.59,0.15,78.78787878787877,-54.54545454545456,3676.0,live,$0-1
Abandoned Air Temple,5.99,9.99,5.73,66.7779632721202,-4.34056761268781,1805.0,live,$5-10
Firdoch Core,0.34,0.49,0.15,44.11764705882352,-55.88235294117647,3026.0,live,$0-1
Great Hall of the Biblioplex,0.76,0.49,0.15,-35.526315789473685,-80.26315789473684,2748.0,live,$0-1
"Ares, God of War",0.31,0.49,0.15,58.06451612903225,-51.61290322580645,2100.0,live,$0-1
Swords to Plowshares,1.69,2.49,1.37,47.3372781065089,-18.93491124260354,2211.0,live,$1-2
Ba Sing Se,4.2,6.49,3.59,54.52380952380952,-14.52380952380953,1824.0,live,$2-5
Doctor Doom,3.59,6.49,2.08,80.7799442896936,-42.06128133704736,1771.0,live,$2-5
Red Hulk (Borderless),0.25,0.35,0.15,39.99999999999999,-40.0,1902.0,live,$0-1
Virulent Emissary,1.35,1.79,0.15,32.59259259259258,-88.8888888888889,2064.0,live,$1-2
Monstrous Rage,0.23,0.35,0.15,52.17391304347825,-34.78260869565218,2323.0,live,$0-1
The Wind Crystal,6.23,8.49,5.15,36.2760834670947,-17.335473515248793,1589.0,live,$5-10
"Ral Zarek, Guest Lecturer",1.65,1.99,1.04,20.606060606060613,-36.96969696969696,1812.0,live,$1-2
Exotic Orchard,0.36,0.59,0.15,63.888888888888886,-58.333333333333336,2749.0,live,$0-1
Godless Shrine,8.64,12.99,7.52,50.34722222222221,-12.962962962962973,1709.0,live,$5-10
"Captain America, Wings of Freedom",0.34,0.49,0.15,44.11764705882352,-55.88235294117647,2182.0,live,$0-1
"Electro, Assaulting Battery",6.35,9.49,3.64,49.44881889763781,-42.677165354330704,1603.0,live,$5-10
Priest of Titania,0.56,1.29,0.35,130.35714285714283,-37.500000000000014,2516.0,live,$0-1
Ohran Frostfang,5.67,7.49,5.15,32.098765432098766,-9.171075837742498,1951.0,live,$5-10
Sol Ring,1.64,2.79,1.43,70.1219512195122,-12.804878048780486,2520.0,live,$1-2
Impact Tremors,2.7,4.99,2.49,84.81481481481481,-7.777777777777777,1615.0,live,$2-5
Land Tax,15.57,18.99,13.94,21.965317919075133,-10.468850353243422,1781.0,live,$10-20
Crop Rotation,3.57,4.49,3.12,25.770308123249315,-12.605042016806715,1610.0,live,$2-5
Pyretic Ritual,5.03,7.49,4.15,48.9065606361829,-17.495029821073555,1565.0,live,$5-10
The Fire Crystal,6.09,8.49,5.1000000000000005,39.4088669950739,-16.256157635467968,1558.0,live,$5-10
Mystic Remora,8.55,11.99,6.5600000000000005,40.23391812865496,-23.27485380116959,1629.0,live,$5-10
Royal Treatment,0.26,0.35,0.15,34.615384615384606,-42.30769230769232,2159.0,live,$0-1
The Soul Stone,120.5,149.99,123.98,24.47302904564316,2.887966804979256,1503.0,live,$100-200
Skycoach Conductor,0.35,0.49,0.15,40.00000000000001,-57.14285714285714,2283.0,live,$0-1
The Darkness Crystal,4.65,5.99,4.0600000000000005,28.81720430107526,-12.688172043010749,1545.0,live,$2-5
Zombify,0.2,0.35,0.15,74.99999999999997,-25.000000000000007,2048.0,live,$0-1
"Dina, Essence Brewer (Borderless)",3.23,3.49,1.82,8.049535603715178,-43.65325077399381,1828.0,live,$2-5
Boomerang Basics,0.96,1.29,0.15,34.375000000000014,-84.375,2735.0,live,$0-1
Veil of Summer,3.87,6.49,2.99,67.70025839793283,-22.739018087855296,1589.0,live,$2-5
Deflecting Palm,3.14,2.79,1.97,-11.146496815286628,-37.261146496815286,1551.0,live,$2-5
Malakir Rebirth,12.7,16.99,12.52,33.77952755905511,-1.4173228346456672,1568.0,live,$10-20
Topiary Lecturer,0.28,0.35,0.15,24.999999999999982,-46.42857142857144,2261.0,live,$0-1
Agent Phil Coulson,0.33,0.49,0.15,48.48484848484848,-54.54545454545456,2083.0,live,$0-1
Harmonic Prodigy,3.39,5.49,3.11,61.94690265486725,-8.259587020648974,2076.0,live,$2-5
"Leader, Super-Genius",0.31,0.49,0.15,58.06451612903225,-51.61290322580645,2061.0,live,$0-1
The Eternity Elevator,2.48,3.49,1.56,40.72580645161291,-37.096774193548384,1827.0,live,$2-5
"Thanos, the Mad Titan",2.15,2.49,0.91,15.813953488372109,-57.67441860465116,1681.0,live,$2-5
Stirring Hopesinger,0.31,0.49,0.15,58.06451612903225,-51.61290322580645,2381.0,live,$0-1
Avatar's Wrath,4.43,5.99,3.11,35.21444695259595,-29.79683972911964,1698.0,live,$2-5
Magmakin Artillerist,0.26,1.29,0.15,396.1538461538462,-42.30769230769232,1795.0,live,$0-1
Sol Ring,1.96,2.79,1.49,42.3469387755102,-23.97959183673469,2321.0,live,$1-2
Rogue's Passage,0.4,0.79,0.36,97.5,-10.000000000000009,1889.0,live,$0-1
"Hawkeye, Young Avenger",0.28,0.59,0.15,110.71428571428568,-46.42857142857144,2450.0,live,$0-1
Basking Broodscale,0.2,0.35,0.15,74.99999999999997,-25.000000000000007,2430.0,live,$0-1
Nyxborn Hydra,0.3,0.39,0.15,30.00000000000001,-50.0,2642.0,live,$0-1
Starscape Cleric,0.74,1.99,0.33,168.91891891891893,-55.4054054054054,2073.0,live,$0-1
Withering Curse,0.99,1.29,0.5,30.303030303030308,-49.494949494949495,1767.0,live,$0-1
Vastlands Scavenger,0.34,0.49,0.15,44.11764705882352,-55.88235294117647,2019.0,live,$0-1
"Ironheart, Clever Champion",0.36,0.49,0.15,36.11111111111112,-58.333333333333336,2406.0,live,$0-1
Banner of Kinship,7.59,10.99,6.140000000000001,44.79578392621871,-19.104084321475614,1574.0,live,$5-10
Zuran Orb,3.09,2.79,1.97,-9.708737864077664,-36.24595469255663,1601.0,live,$2-5
"Krang, Utrom Warlord",22.7,23.99,21.47,5.6828193832599085,-5.4185022026431735,1477.0,live,$20-50
Strike It Rich,2.14,2.79,2.02,30.37383177570093,-5.607476635514024,1961.0,live,$2-5
"Mister Fantastic, Reed Richards",0.31,0.39,0.15,25.80645161290323,-51.61290322580645,3112.0,live,$0-1
The Unbeatable Squirrel Girl (Borderless),13.79,13.99,11.43,1.450326323422778,-17.113850616388685,1445.0,live,$10-20
Demand Answers,0.39,1.49,0.19,282.05128205128204,-51.28205128205129,1862.0,live,$0-1
"Bitterthorn, Nissa's Animus",5.58,6.99,5.0,25.26881720430108,-10.394265232974911,1993.0,live,$5-10
Entish Restoration,3.14,4.49,2.87,42.99363057324841,-8.598726114649683,1507.0,live,$2-5
Unwind,1.16,1.99,1.01,71.55172413793105,-12.931034482758614,1745.0,live,$1-2
Angel's Grace,2.92,3.99,2.57,36.643835616438366,-11.986301369863018,1529.0,live,$2-5
Kozilek's Command,7.11,9.99,6.140000000000001,40.50632911392405,-13.64275668073136,2136.0,live,$5-10
The Water Crystal,3.3,4.99,2.75,51.21212121212123,-16.666666666666664,1512.0,live,$2-5
"Wolverine, Fierce Fighter (Borderless)",5.11,4.49,3.27,-12.133072407045011,-36.00782778864971,1495.0,live,$5-10
Windswept Heath,11.36,14.99,10.94,31.954225352112687,-3.6971830985915486,1690.0,live,$10-20
Curiosity,1.68,1.99,0.7000000000000001,18.45238095238096,-58.33333333333333,1648.0,live,$1-2
Fix What's Broken,0.28,0.49,0.15,74.99999999999997,-46.42857142857144,2054.0,live,$0-1
Epic Fight,0.36,0.49,0.15,36.11111111111112,-58.333333333333336,2023.0,live,$0-1
Waterlogged Teachings,0.38,0.99,0.15,160.52631578947367,-60.526315789473685,1824.0,live,$0-1
