name,productId,set
Yavimaya Coast,687588,
"Kinnan, Bonder Prodigy",212623,
Bloom Tender,671067,
Colossal Skyturtle,262770,
"Derevi, Empyrial Tactician",71518,
Emiel the Blessed,216252,
Ertai Resurrected,283607,
"Esika, God of the Tree",230163,
Ignoble Hierarch,671175,
Ioreth of the Healing House,498609,
"Lavinia, Azorius Renegade",182131,
"Magda, Brazen Outlaw",229232,
"Marvin, Murderous Mimic",578074,
"Selvala, Heart of the Wilds",671244,
"Shang-Chi, Master of Kung Fu",697059,
"Tam, Mindful First-Year",671578,
Agatha's Soul Cauldron,512510,
Chromatic Orrery,215443,
Relic of Legends,283524,
Abrupt Decay,544849,
Dismember,688910,
Green Sun's Zenith,39050,
Oath of Teferi,162141,
Touch the Spirit Realm,262694,
"Aminatou, the Fateshifter",276336,
"Ashiok, Dream Render",188627,
"Dihada, Binder of Wills",282840,
"Nicol Bolas, Dragon-God",188630,
Saheeli Rai,122604,
"Teferi, Time Raveler",187194,
"Teferi, Who Slows the Sunset",248179,
"Tyvar, Jubilant Brawler",478299,
Mount Doom,488273,
Taiga,1585,
"Sisay, Weatherlight Captain",190933,
"Delney, Streetwise Lookout",533402,
Ghostly Pilferer,215728,
Glamer Gifter,671468,
Glint-Horn Buccaneer,192896,
Imperial Recruiter,239769,
"Kediss, Emberclaw Familiar",226634,
"Mister Fantastic, Reed Richards",696275,
"Niv-Mizzet, Parun",175582,
Pirated Copy,454840,
Reckless Fireweaver,123071,
Shao Jun,556335,
Siren Stormtamer,525762,
Storm-Kiln Artist,687338,
"Vaan, Street Thief",633403,
Vivi Ornitier,631015,
Weftstalker Ardent,641779,
Angel's Grace,689148,
Gifts Ungiven,276478,
Redirect Lightning,648709,
Trickery Charm,10326,
Idyllic Tutor,206667,
Curiosity,509516,
Ophidian Eye,14311,
Hallowed Fountain,656703,
Sacred Foundry,638912,
Steam Vents,656711,
Thundering Falls,532918,
Training Center,221359,
"Bruse Tarl, Boorish Herder",123975,
"Malcolm, Keen-Eyed Navigator",226327,
"Ajani, Nacatl Pariah",541279,
Altar of the Wretched,526401,
Goblin Engineer,190867,
Goblin Welder,94339,
Greedy Freebooter,526296,
Hope of Ghirapur,126430,
Impulsive Pilferer,227184,
Mardu Devotee,624397,
Ruthless Technomancer,262837,
Stitcher's Supplier,631512,
Tax Collector,556306,
The Jolly Balloon Man,575080,
"Yawgmoth, Thran Physician",191131,
Altar of Dementia,191735,
Bolas's Citadel,187187,
Prized Statue,273386,
Burnt Offering,4617,
Sacrifice,1550,
Claim the Firstborn,235618,
Lively Dirge,544422,
Ominous Harvest,687350,
Peer into the Abyss,215373,
Goblin Bombardment,239839,
Godless Shrine,638911,
Great Furnace,642853,
"Dargo, the Shipwrecker",226644,
Adaptive Automaton,591075,
Axgard Cavalry,591690,
Barkform Harvester,558679,
Battered Golem,11783,
Bloodfire Dwarf,7914,
Dwarven Armorer,3622,
Dwarven Bloodboiler,10244,
Dwarven Grunt,9460,
Dwarven Scorcher,10246,
Dwarven Trader,4486,
Enslaved Dwarf,9694,
"Gogo, Mysterious Mime",631124,
Knuckles the Echidna,643701,
Liberated Dwarf,10255,
"Magda, the Hoardmaster",544268,
Metallic Mimic,697416,
Pinnacle Monk,553299,
Plundering Barbarian,243047,
Roaming Throne,525238,
Spark Mage,9497,
Three Tree Mascot,559479,
Twinshot Sniper,262155,
Universal Automaton,191572,
Xorn,243290,
Clock of Omens,60035,
Clown Car,287522,
Damping Sphere,162250,
Disruptor Flute,552584,
Firdoch Core,671721,
Flywheel Racer,491763,
Grafdigger's Cage,192909,
Legion Extruder,544937,
Lifecraft Engine,610768,
Liquimetal Torque,239836,
Maskwood Nexus,553540,
Peter Parker's Camera,651386,
Pithing Needle,247969,
Portal to Phyrexia,451962,
Sculpting Steel,452426,
Smuggler's Copter,122743,
Stalactite Dagger,672032,
Torpor Orb,39593,
Unlicensed Hearse,544883,
Abrade,688837,
Bottle-Cap Blast,541424,
Chaos Warp,687360,
Galvanic Blast,36340,
Lightning Bolt,1479,
Pyrokinesis,4217,
Return the Favor,688928,
Sudden Shock,14382,
Tibalt's Trickery,230206,
Untimely Malfunction,576504,
Zoyowa's Justice,525289,
Shatterskull Smashing,222030,
Sundering Eruption,552583,
Urza's Saga,238619,
"Tezzeret, Cruel Captain",638908,
Barbarian Ring,552632,
Command Beacon,624449,
Hammerheim,3896,
Holdout Settlement,111039,
"Kavaron, Memorial World",641943,
Mountain,206025,
Mutavault,69900,
"Shinka, the Bloodsoaked Keep",254611,
"Sokenzan, Crucible of Defiance",262172,
Survivors' Encampment,136623,
Treasure Vault,615181,
Volatile Fault,526363,
Tandem Lookout,58267,
Jeweled Amulet,4751,
Mishra's Bauble,451925,
Sensei's Divining Top,12160,
Talisman of Creativity,687630,
Urza's Bauble,4927,
Brainstorm,4611,
Cyclonic Rift,689345,
Desperate Ritual,11976,
Gut Shot,98817,
Virtue of Courage,513885,
Wild Slash,95314,
Displacement Wave,100095,
Light Up the Stage,689923,
Ponder,519494,
Preordain,688900,
Sea Gate Restoration,222038,
Strike It Rich,240149,
Timetwister,448965,
Fiery Islet,519239,
Riverpyre Verge,614418,
Seat of the Synod,642862,
Shivan Reef,687534,
Cloud of Faeries,457458,
Displacer Kitten,272901,
Felidar Guardian,126480,
Peregrine Drake,458178,
Phyrexian Metamorph,642804,
Skycoach Conductor,688971,
Sowing Mycospawn,552738,
Spellseeker,167811,
Springheart Nantuko,552859,
Expedition Map,591079,
Eladamri's Call,191062,
Emerald Charm,457587,
Ephemerate,191568,
Louisoix's Sacrifice,633987,
Path to Exile,499536,
Reap and Sow,11691,
Sylvan Scrying,105272,
Wargate,204599,
Growing Rites of Itlimoc,524220,
Deserted Temple,552268,
Dryad Arbor,579308,
"Minamo, School at Water's Edge",210357,
Temple Garden,656713,
"Yoshimaru, Ever Faithful",262832,
Dosan the Falling Leaf,11981,
Elves of Deep Shadow,13270,
Tinder Wall,4919,
Wild Cantor,531170,
Autumn's Veil,47710,
Manamorphose,18700,
Noxious Revival,39555,
Summoner's Pact,234026,
Vial Smasher the Fierce,578922,
Drannith Magistrate,212115,
Grand Arbiter Augustin IV,276439,
"Urza, Lord High Artificer",503426,
Cursed Totem,240154,
Talisman of Hierarchy,687633,
Talisman of Progress,499820,
Time Sieve,204588,
Mana Drain,544246,
Muddle the Mixture,531115,
Retraction Helix,79146,
Strix Serenade,552621,
Whir of Invention,126329,
Toxic Deluge,687372,
Blind Obedience,513356,
Steal Enchantment,5753,
Morphic Pool,267057,
Sea of Clouds,267055,
Spire of Industry,642867,
"Tivit, Seller of Secrets",269717,
Subtlety,239741,
Firestorm,6027,
Molten Disaster,14942,
Vision Quest,696864,
Curse of Opulence,624180,
"Ishai, Ojutai Dragonspeaker",124135,
Aftermath Analyst,533918,
Allosaurus Shepherd,216173,
"Ashaya, Soul of the Wild",577808,
Blossoming Tortoise,512321,
Collector Ouphe,191057,
Elvish Reclaimer,192617,
Famished Worldsire,642982,
Horizon Explorer,641983,
Icetill Explorer,644286,
Lotus Cobra,559826,
"Nissa, Resurgent Animist",495610,
Rootpath Purifier,452480,
Six,552272,
Sylvan Safekeeper,548583,
Tiller Engine,282900,
Amulet of Vigor,34328,
Null Rod,6076,
Trinisphere,11660,
Eldrazi Confluence,553171,
Natural Order,235505,
Scapeshift,168720,
Exploration,457191,
Food Chain,276918,
Root Maze,5693,
Spelunking,524416,
Arid Archway,544329,
"Boseiju, Who Shelters All",11953,
Buried Ruin,642848,
Castle Garenbrig,199288,
Conduit Pylons,544694,
Crumbling Vestige,110689,
Crystal Vein,5019,
Echoing Deeps,525285,
Fabled Passage,687665,
Field of the Dead,192562,
Geier Reach Sanitarium,525830,
Ghost Quarter,499590,
Havenwood Battleground,3665,
Hickory Woodlot,6553,
Horizon of Progress,553202,
Lazotep Quarry,553207,
Lotus Field,687695,
Mirrorpool,110694,
Pit of Offerings,525127,
Prismatic Vista,190748,
Sanctum of Eternity,196429,
Snow-Covered Forest,190653,
Strip Mine,1938,
The Mycosynth Gardens,642857,
The Tabernacle at Pendrell Vale,4046,
Urza's Cave,548592,
Vesuva,553224,
Wasteland,662089,
"Yavimaya, Cradle of Growth",553219,
"Lumra, Bellow of the Woods",541369,
"Abigale, Eloquent First-Year",670978,
Archon of Emeria,221969,
Aven Interrupter,544403,
Basking Broodscale,552176,
Carrion Feeder,10885,
Eidolon of Rhetoric,82243,
Ethersworn Canonist,27666,
Faeburrow Elder,671259,
"Felothar, Dawn of the Abzan",625133,
"Hammerhead, Maggia Boss",697259,
Incubation Druid,631307,
Knight of the Reliquary,28557,
Moonshadow,671780,
Patrol Signaler,27177,
Patrolling Peacemaker,642782,
"Rishkar, Peema Renegade",559913,
Rosie Cotton of South Lane,498377,
Skyclave Apparition,687530,
Strangleroot Geist,57606,
Walking Ballista,631496,
Wall of Roots,5291,
Warden of the Grove,625027,
Young Wolf,600501,
Ashnod's Altar,3360,
Thousand-Year Elixir,236115,
Cryptolith Rite,116371,
Deafening Silence,199001,
Earthcraft,5529,
Insidious Roots,535300,
Leyline of Abundance,513346,
Survival of the Fittest,4416,
Centaur Garden,9591,
Gavony Township,55910,
Overgrown Tomb,656709,
Plains,206022,
"Tayam, Luminous Enigma",212143,
"Casey Jones, Back Alley Brute",679589,
Dauthi Voidwalker,240166,
Gleeful Arsonist,578915,
Kederekt Parasite,578921,
Kessig Flamebreather,253555,
Soot Imp,27205,
Unstable Amulet,552637,
Bolt Bend,591021,
Pyretic Ritual,688919,
Ricochet Trap,34423,
Seething Song,11423,
Slaughter Pact,233859,
Snuff Out,631256,
The Last Agni Kai,660545,
Grapeshot,457203,
Reckless Handling,495617,
Scheming Symmetry,192521,
All Will Be One,479312,
Shadow of the Goblin,651989,
Arena of Glory,553264,
Forbidden Orchard,276798,
Luxury Suite,698116,
Raucous Theater,532911,
"Ob Nixilis, Captive Kingpin",495606,
Notion Thief,499638,
Banishing Knack,27069,
Gush,6547,
Insidious Dreams,9748,
Nature's Claim,34405,
Worldly Tutor,5300,
Doomsday,697282,
Carpet of Flowers,519515,
City of Solitude,5814,
"Jace, Wielder of Mysteries",187141,
Llanowar Wastes,687692,
Multiversal Passage,646661,
Underground River,615049,
"Glarb, Calamity's Augur",558331,
Boggart Trawler,552873,
Changeling Outcast,190942,
Dream Beavers,680261,
Faerie Seer,191569,
Gingerbrute,198887,
Gudul Lurker,96452,
Hydroelectric Specimen,553181,
Impossible Man,697202,
"Loki, Lord of Misrule",697204,
"Mai, Scornful Striker",661961,
Mistblade Shinobi,12311,
Mothdust Changeling,18020,
Ornithopter,457188,
Shadow of Mortality,268782,
Skullsnatcher,12356,
"Sun Quan, Lord of Wu",504491,
Super Shredder,657755,
"Tetsuko Umezawa, Fugitive",491830,
Thousand-Faced Shadow,262130,
Throat Slitter,507595,
Wingcrafter,58178,
Key to the City,631182,
Mindcrank,39544,
Scroll Rack,226675,
Fell the Profane,552580,
Flare of Denial,548596,
Flare of Malice,552274,
Spider-Sense,651910,
Agadeem's Awakening,222163,
Crippling Fear,456823,
Temporal Mastery,58177,
Temporal Trespass,541325,
Aqueous Form,71316,
Black Market Connections,698008,
Bloodchief Ascension,504564,
Chains of Mephistopheles,3825,
Leyline of the Void,575262,
"Kaito, Bane of Nightmares",575076,
Gloomlake Verge,576518,
Snow-Covered Island,190649,
Snow-Covered Swamp,190652,
Swamp,206024,
"Yuriko, the Tiger's Shadow",504503,
Archmage Emeritus,687389,
Dragon's Rage Channeler,240055,
Harmonic Prodigy,687475,
Phantasmal Image,47629,
Pollywog Prodigy,559733,
Tavern Scoundrel,240341,
"Veyran, Voice of Duality",687658,
Mogg Salvage,239750,
Submerge,7250,
Surgical Extraction,544865,
"Krark, the Thumbless",226121,
Ainok Strike Leader,624277,
Angrath's Marauders,525731,
Anointed Peacekeeper,283402,
Auratouched Mage,13194,
Aven Mindcensor,129724,
Blade Historian,235551,
"Boromir, Warden of the Tower",498305,
Charismatic Conqueror,525710,
Clarion Conqueror,624539,
Combat Celebrant,559819,
Deep Gnome Terramancer,273676,
Giver of Runes,190865,
Goblin Rabblemaster,590545,
"Greymond, Avacyn's Stalwart",513295,
Howlsquad Heavy,615912,
"Lena, Selfless Champion",169111,
Loyal Apprentice,624332,
Magus of the Moon,233956,
Ocelot Pride,552863,
Ornithopter of Paradise,615168,
"Phelia, Exuberant Shepherd",548602,
Phyrexian Revoker,448815,
Phyrexian Walker,5899,
"Quicksilver, Brash Blur",668459,
"Rionya, Fire Dancer",687423,
Sanctum Prelate,242407,
Signal Pest,39139,
"Skrelv, Defector Mite",478278,
"Slicer, Hired Muscle",448834,
"Smellerbee, Rebel Fighter",662367,
Solitude,240037,
Soulless Jailer,479347,
Spirit of the Labyrinth,78851,
"Thalia, Guardian of Thraben",252859,
Witch Enchanter,552336,
Aether Vial,11608,
Breath of Fury,693443,
Battlefield Forge,624204,
Blinkmoth Nexus,98643,
"Eiganjo, Seat of the Empire",262746,
Mishra's Factory,239686,
Needleverge Pathway,221838,
Spectator Seating,697454,
"Winota, Joiner of Forces",212622,
Asmodeus the Archfiend,243588,
Balthor the Defiled,10221,
Blood Celebrant,10746,
Blood Pet,5471,
"Braids, Arisen Nightmare",641961,
"Chainer, Dementia Master",503401,
Dimir House Guard,531152,
Fleshwrither,14886,
Gravecrawler,615096,
Gray Merchant of Asphodel,71021,
Hoarding Broodlord,490572,
"Mikaeus, the Unhallowed",57666,
Necrotic Ooze,36409,
"Razaketh, the Foulblooded",135056,
"Sheoldred, the Apocalypse",282800,
"Sidisi, Undead Vizier",96362,
Skirge Familiar,239843,
Vile Entomber,240279,
"Vilis, Broker of Blood",192644,
Warren Soultrader,552631,
Jet Medallion,552320,
Mind Stone,463303,
The Darkness Crystal,630862,
Baleful Mastery,235848,
Cut Down,282845,
Entomb,457198,
Fatal Push,556012,
Force of Despair,190880,
Imp's Mischief,544837,
March of Wretched Sorrow,262443,
Saw in Half,560019,
Shallow Grave,5226,
Shred Memory,13417,
Beseech the Queen,222434,
Buried Alive,552813,
Chain of Smog,10340,
Dark Petition,689839,
Final Parting,507114,
Persist,671161,
Reanimate,631573,
Unmarked Grave,239388,
Animate Dead,687375,
Dance of the Dead,4639,
Heartless Summoning,609969,
Necromancy,5890,
The Meathook Massacre,248212,
Professor Onyx,579064,
"Nykthos, Shrine to Nyx",71039,
"Takenuma, Abandoned Mire",262420,
"Urborg, Tomb of Yawgmoth",91106,
"K'rrik, Son of Yawgmoth",552301,
"Linvala, Keeper of Silence",216559,
Maralen of the Mornsong,18012,
Sakashima of a Thousand Faces,227010,
Serra Ascendant,35573,
Snapcaster Mage,52206,
Blue Elemental Blast,1349,
Glen Elendra's Answer,670991,
Hydroblast,4727,
Narset's Reversal,624156,
Confounding Conundrum,221854,
Vault of Champions,221351,
Marneus Calgar,285803,
Sire of Insanity,67898,
"Valgavoth, Terror Eater",575065,
Chalice of the Void,11465,
"Chimil, the Inner Sun",671263,
God-Pharaoh's Statue,187246,
Manifold Key,192637,
Sphere of Resistance,4410,
Tangle Wire,7251,
Thran Dynamo,559925,
Voltaic Key,35627,
Divergent Transformations,504653,
Fire Magic,630969,
Avengers Disassembled,696560,
Blasphemous Act,687417,
Cave-In,6461,
From the Ashes,71881,
Obliterate,121178,
Reality Scramble,170965,
Transmogrify,215571,
Blood Moon,512369,
Contamination,6825,
Nether Void,3963,
Stranglehold,46952,
"Chandra, Awakened Inferno",192222,
"Karn, the Great Creator",188386,
"Lukka, Coppercoat Outcast",211996,
Blightstep Pathway,229209,
Snow-Covered Mountain,190650,
Sulfurous Springs,642071,
"Tevesh Szat, Doom of Fools",226122,
