name,units,tcgplayer,cardkingdom,manapool
Pact of Negation,15,17.24,21.99,16.38
Rain of Filth,5,9.44,8.99,4.86
Red Elemental Blast,11,3.62,4.99,3.48
Silence,10,10.59,11.99,7.81
Swan Song,13,8.71,13.99,8.66
Tainted Pact,14,32.54,37.99,31.26
Vampiric Tutor,17,57.62,54.99,48.25
Beseech the Mirror,10,26.06,23.99,20.23
Demonic Tutor,17,63.94,69.99,61.47
Diabolic Intent,8,18.05,18.99,15.08
Gamble,12,17.55,19.99,16.67
Gitaxian Probe,6,3.99,4.99,3.34
Imperial Seal,15,163.39,199.99,171.93
Mnemonic Betrayal,6,8.62,9.49,8.33
Rite of Flame,12,6.1,5.99,5.19
Sevinne's Reclamation,7,0.65,0.99,0.15
Mystic Remora,17,9.16,11.99,10.31
Necropotence,9,38.92,24.99,32.08
Rhystic Study,17,61.53,74.99,58.31
Smothering Tithe,9,50.01,59.99,53.14
Underworld Breach,11,9.89,10.99,7.8
Ancient Tomb,24,127.73,57.99,70.84
Arid Mesa,15,28.7,39.99,30.72
Badlands,9,533.06,279.99,250.16
Bloodstained Mire,15,17.8,20.99,13.54
Cavern of Souls,11,52.19,54.99,48.84
City of Brass,20,12.07,15.99,10.24
City of Traitors,17,538.42,57.99,90.04
Command Tower,22,0.26,0.59,0.2
Exotic Orchard,11,0.24,0.49,0.15
Flooded Strand,18,17.61,18.99,14.06
Gemstone Caverns,25,50.65,69.99,55.94
Mana Confluence,20,32.7,47.99,35.06
Marsh Flats,19,30.51,42.99,29.69
Misty Rainforest,18,35.53,39.99,36.45
"Otawara, Soaring City",17,27.2,42.99,28.13
Plateau,7,375.14,199.99,255.27
Polluted Delta,20,18.69,27.99,18.72
Scalding Tarn,16,38.31,44.99,39.58
Scrubland,8,435.57,299.99,304.14
Starting Town,9,7.83,10.99,7.43
Tarnished Citadel,7,18.74,5.49,4.22
Tundra,9,670.58,279.99,318.64
Underground Sea,12,987.2,329.99,573.07
Verdant Catacombs,19,26.94,37.99,29.06
Volcanic Island,10,871.87,499.99,386.56
Windswept Heath,12,11.46,12.99,9.37
"Kraum, Ludevic's Opus",2,8.98,2.99,2.37
Tymna the Weaver,4,28.69,13.99,11.12
Abhorrent Oculus,1,14.28,21.99,13.8
Archivist of Oghma,2,6.87,9.49,6.4
Avacyn's Pilgrim,3,0.41,1.79,0.38
Badgermole Cub,4,49.35,79.99,48.97
Biomancer's Familiar,2,1.63,2.99,1.23
Birds of Paradise,7,9.12,12.99,5.48
Deathrite Shaman,5,7.01,5.99,5.75
Devoted Druid,2,0.36,0.79,0.31
Elvish Spirit Guide,6,3.04,2.49,2.44
Enduring Vitality,4,15.55,16.99,15.1
Eternal Witness,3,1.89,1.49,1.26
Formidable Speaker,4,7.73,10.99,7.11
Hazel's Brewmaster,1,2.96,3.99,1.85
High Fae Trickster,6,4.59,8.99,4.27
Noble Hierarch,3,11.71,14.99,10.96
Oboro Breezecaller,2,2.12,0.99,1.52
The Cabbage Merchant,5,24.05,37.99,22.85
Chord of Calling,6,6.05,7.99,5.47
Crop Rotation,5,3.94,3.49,3.07
Deadly Rollick,8,26.62,24.99,26.03
Force of Vigor,2,8.5,7.49,3.9
Misdirection,5,11.76,16.99,11.46
Orim's Chant,3,5.01,8.99,4.86
Snap,3,3.31,3.99,3.06
Swords to Plowshares,6,1.41,2.29,1.29
Trickbind,1,12.35,10.99,8.86
Veil of Summer,3,4.28,6.49,3.11
Culling Ritual,3,0.49,0.59,0.15
Eldritch Evolution,2,3.63,5.49,2.98
Finale of Devastation,5,48.11,69.99,50.5
Nature's Rhythm,7,5.22,6.99,4.07
Neoform,1,0.74,0.99,0.48
Swift Reconfiguration,2,3.65,5.49,4.15
Training Grounds,2,8.81,11.99,7.29
Bayou,5,460.17,229.99,247.48
"Boseiju, Who Endures",8,50.05,69.99,42.71
Emergence Zone,8,3.93,5.99,3.74
Gaea's Cradle,6,1622.57,329.99,468.88
Savannah,4,405.33,279.99,241.79
Shifting Woodland,4,5.11,7.49,3.64
Talon Gates of Madara,6,29.32,29.99,30.99
Tropical Island,6,579.93,349.99,380.84
"Thrasios, Triton Hero",4,33.76,23.99,19.69
Chromatic Star,2,0.2,0.35,0.15
Defense Grid,4,6.41,6.49,6.76
Grim Monolith,8,470.23,42.99,51.52
Grinding Station,4,19.0,16.99,12.84
Paradise Mantle,4,8.49,10.99,7.48
Springleaf Drum,10,0.36,0.99,0.15
Talisman of Dominance,3,1.64,2.49,0.86
Talisman of Indulgence,3,2.16,2.79,1.91
Vexing Bauble,9,2.32,4.49,1.67
Daze,3,1.19,2.29,0.87
Flare of Duplication,6,1.57,2.29,0.72
Pyroblast,8,7.96,4.49,2.98
Snapback,4,0.33,0.99,0.3
Grim Tutor,4,25.66,24.99,24.76
Infernal Plunge,5,0.55,0.69,0.4
Jeska's Will,10,45.68,47.99,40.62
Last Chance,3,5.19,4.49,2.62
Praetor's Grasp,7,11.03,15.99,11.45
Warrior's Oath,3,17.32,21.99,18.15
Wheel of Fortune,4,379.7,249.99,260.47
Wheel of Misfortune,2,7.8,10.99,7.8
Windfall,2,5.4,6.99,4.57
Yawgmoth's Will,5,245.26,47.99,40.47
Cool but Rude,2,7.01,12.99,7.13
Necrodominance,4,2.51,4.99,1.8
Blood Crypt,6,9.06,12.99,9.37
Gemstone Mine,4,12.84,4.49,2.04
Phyrexian Tower,7,26.08,42.99,25.41
Undercity Sewers,5,13.56,15.99,8.67
Watery Grave,7,9.07,14.99,9.27
Wooded Foothills,14,16.61,22.99,15.63
"Rograkh, Son of Rohgahh",4,2.36,2.99,2.07
"Silas Renn, Seeker Adept",3,9.63,2.29,1.68
Clever Impersonator,3,3.06,4.99,2.43
Consecrated Sphinx,1,31.26,27.99,28.98
Delighted Halfling,6,29.68,37.99,28.64
Drift of Phantasms,1,0.25,0.69,0.25
Elvish Mystic,2,0.43,0.99,0.4
Endurance,2,3.78,6.99,3.61
Flesh Duplicate,3,7.77,7.99,8.01
Fyndhorn Elves,3,1.52,3.99,2.0
Gene Pollinator,1,0.24,0.35,0.15
Hullbreaker Horror,2,6.55,8.49,5.86
Llanowar Elves,3,0.23,0.59,0.15
"Nezahal, Primal Tide",1,7.64,11.99,7.81
The Unagi of Kyoshi Island,1,1.66,2.49,0.72
Trophy Mage,1,0.61,1.79,0.56
"Wan Shi Tong, Librarian",5,35.87,54.99,34.9
Basalt Monolith,2,4.61,4.99,3.09
Fellwar Stone,7,0.75,1.29,0.56
Imposter Mech,1,6.66,11.99,6.76
Mirage Mirror,1,0.49,0.49,0.15
Talisman of Curiosity,1,0.39,0.79,0.2
The One Ring,6,106.14,109.99,93.78
Disrupting Shoal,2,16.76,14.99,14.21
Dizzy Spell,2,2.63,2.49,2.28
Dramatic Reversal,3,0.63,0.99,0.25
Sudden Substitution,1,5.31,6.99,5.15
Twincast,1,6.55,9.49,7.6
Hidden Strings,1,0.31,0.59,0.27
Transmute Artifact,2,396.45,649.99,364.7
Copy Artifact,1,65.02,79.99,60.42
Copy Enchantment,2,1.76,2.29,1.04
Counterbalance,3,5.98,3.99,2.69
Mirrormade,5,2.49,3.99,1.54
Sylvan Library,3,34.57,27.99,26.02
Botanical Sanctum,1,1.52,2.29,0.95
Breeding Pool,3,9.41,14.99,8.28
Forest,7,0.67,0.35,0.15
Island,3,0.84,0.35,0.15
Rejuvenating Springs,1,3.72,6.99,3.9
Waterlogged Grove,1,0.6,1.79,0.65
Willowrush Verge,1,6.66,9.99,5.8
Yavimaya Coast,2,0.34,0.69,0.2
"Kinnan, Bonder Prodigy",2,13.54,17.99,13.51
Bloom Tender,2,13.32,16.99,13.01
Colossal Skyturtle,1,0.49,0.69,0.41
"Derevi, Empyrial Tactician",2,10.09,8.49,6.13
Emiel the Blessed,2,12.74,12.99,13.28
Ertai Resurrected,1,0.91,0.99,0.31
Ignoble Hierarch,2,1.44,1.99,0.83
Ioreth of the Healing House,1,0.36,0.79,0.15
"Lavinia, Azorius Renegade",1,0.44,0.59,0.22
"Magda, Brazen Outlaw",4,2.63,3.49,2.6
"Marvin, Murderous Mimic",2,3.47,4.99,3.32
"Selvala, Heart of the Wilds",1,3.45,5.49,3.38
"Shang-Chi, Master of Kung Fu",2,11.25,16.99,10.72
"Tam, Mindful First-Year",1,0.44,0.59,0.15
Agatha's Soul Cauldron,4,37.71,39.99,37.5
Chromatic Orrery,1,38.69,44.99,30.94
Relic of Legends,4,2.55,1.99,0.72
Abrupt Decay,2,1.59,2.29,1.04
Dismember,2,3.21,3.49,1.88
Green Sun's Zenith,4,27.26,32.99,27.61
Oath of Teferi,1,0.9,0.79,0.44
Touch the Spirit Realm,4,0.91,1.29,0.86
"Aminatou, the Fateshifter",1,2.64,3.99,2.88
"Ashiok, Dream Render",1,1.32,1.29,0.61
"Dihada, Binder of Wills",1,13.98,24.99,14.32
"Nicol Bolas, Dragon-God",1,4.78,3.99,3.42
Saheeli Rai,1,1.51,1.99,1.36
"Teferi, Time Raveler",2,6.23,7.49,5.51
"Teferi, Who Slows the Sunset",1,3.17,5.49,3.46
"Tyvar, Jubilant Brawler",2,1.89,1.99,1.04
Mount Doom,3,7.5,9.49,7.41
Taiga,2,424.19,229.99,252.16
"Sisay, Weatherlight Captain",1,2.55,2.79,2.19
"Delney, Streetwise Lookout",1,33.77,44.99,31.24
Ghostly Pilferer,1,2.41,3.49,1.92
Glamer Gifter,1,0.22,0.35,0.15
Glint-Horn Buccaneer,1,8.27,12.99,6.32
Imperial Recruiter,2,13.98,16.99,13.46
"Kediss, Emberclaw Familiar",1,5.0,8.99,5.43
"Mister Fantastic, Reed Richards",1,0.32,0.39,0.15
"Niv-Mizzet, Parun",1,5.19,5.99,5.06
Pirated Copy,1,19.45,9.99,18.18
Reckless Fireweaver,1,0.53,0.99,0.2
Shao Jun,1,0.22,0.35,0.15
Siren Stormtamer,1,0.38,1.29,0.2
Storm-Kiln Artist,4,1.31,2.29,1.35
"Vaan, Street Thief",1,0.33,0.49,0.15
Vivi Ornitier,2,37.78,42.99,37.87
Weftstalker Ardent,1,0.69,2.29,0.52
Angel's Grace,3,2.66,3.99,2.56
Gifts Ungiven,4,5.1,5.49,4.53
Redirect Lightning,7,9.99,16.99,9.74
Trickery Charm,1,0.28,0.59,0.26
Idyllic Tutor,2,12.85,13.99,11.72
Curiosity,2,2.11,1.49,0.6
Ophidian Eye,2,10.59,13.99,11.21
Hallowed Fountain,5,6.49,10.99,6.72
Sacred Foundry,3,10.16,14.99,9.37
Steam Vents,4,13.88,17.99,11.45
Thundering Falls,1,15.46,20.99,14.93
Training Center,2,17.14,22.99,16.67
"Bruse Tarl, Boorish Herder",1,5.67,3.49,1.22
"Malcolm, Keen-Eyed Navigator",1,0.32,0.39,0.15
Goblin Engineer,2,9.94,10.99,9.35
Goblin Welder,1,23.97,23.99,25.0
Greedy Freebooter,1,0.36,0.79,0.15
Hope of Ghirapur,2,3.86,2.99,2.03
Impulsive Pilferer,1,0.33,0.35,0.15
Mardu Devotee,1,0.18,0.35,0.15
Ruthless Technomancer,1,3.48,4.99,2.43
Stitcher's Supplier,1,0.29,0.69,0.15
Tax Collector,1,0.29,0.59,0.15
The Jolly Balloon Man,1,0.95,0.69,0.36
"Yawgmoth, Thran Physician",1,31.72,32.99,27.71
Altar of Dementia,1,18.11,20.99,16.76
Bolas's Citadel,3,16.01,10.99,10.42
Prized Statue,1,0.36,0.79,0.29
Burnt Offering,1,1.42,1.29,1.37
Sacrifice,2,7.35,5.49,4.27
Claim the Firstborn,1,0.22,0.35,0.15
Lively Dirge,1,1.77,2.99,1.76
Ominous Harvest,1,0.45,0.49,0.15
Peer into the Abyss,2,3.15,3.99,2.59
Goblin Bombardment,1,2.36,3.99,2.39
Godless Shrine,4,9.01,13.99,8.23
Great Furnace,4,2.4,3.49,2.36
"Dargo, the Shipwrecker",1,0.21,0.35,0.15
Adaptive Automaton,1,0.44,2.29,0.69
Axgard Cavalry,1,0.26,0.35,0.15
Barkform Harvester,1,0.2,0.35,0.15
Battered Golem,1,0.49,0.69,0.46
Bloodfire Dwarf,1,0.3,0.39,0.25
Dwarven Armorer,1,3.96,5.99,2.51
Dwarven Bloodboiler,1,5.99,9.49,6.7
Dwarven Grunt,1,0.27,0.39,0.28
Dwarven Scorcher,1,0.24,0.39,0.27
Dwarven Trader,1,0.34,0.39,0.15
Enslaved Dwarf,1,0.32,0.35,0.34
"Gogo, Mysterious Mime",1,1.69,2.79,1.47
Knuckles the Echidna,2,16.87,21.99,17.39
Liberated Dwarf,1,0.27,0.35,0.26
"Magda, the Hoardmaster",1,0.66,1.79,0.15
Metallic Mimic,1,0.49,1.29,0.36
Plundering Barbarian,1,0.27,0.39,0.15
Roaming Throne,2,50.92,54.99,47.45
Spark Mage,1,2.52,3.49,2.58
Three Tree Mascot,1,0.28,0.35,0.15
Twinshot Sniper,1,0.25,0.35,0.15
Universal Automaton,2,0.57,0.99,0.5
Xorn,1,7.43,9.99,7.5
Clock of Omens,1,3.92,5.99,3.73
Clown Car,1,11.0,16.99,11.24
Damping Sphere,3,1.11,0.99,0.64
Disruptor Flute,1,1.4,2.99,0.88
Firdoch Core,1,0.35,0.39,0.15
Flywheel Racer,1,0.16,0.35,0.15
Grafdigger's Cage,4,3.46,3.49,2.08
Legion Extruder,1,3.34,4.99,3.17
Lifecraft Engine,1,0.37,0.49,0.15
Liquimetal Torque,1,4.11,4.49,2.95
Maskwood Nexus,1,1.36,1.99,1.13
Peter Parker's Camera,1,1.44,1.99,1.04
Pithing Needle,1,0.39,0.79,0.3
Portal to Phyrexia,1,38.56,54.99,43.08
Sculpting Steel,1,1.59,2.99,1.81
Smuggler's Copter,1,0.95,1.49,0.45
Stalactite Dagger,1,0.26,0.35,0.15
Torpor Orb,2,5.61,6.99,3.91
Unlicensed Hearse,1,0.34,0.99,0.15
Abrade,1,0.27,0.35,0.15
Bottle-Cap Blast,1,3.95,5.99,2.34
Chaos Warp,1,0.35,0.69,0.19
Galvanic Blast,1,2.09,2.99,1.87
Lightning Bolt,3,2.4,1.99,0.62
Pyrokinesis,1,4.94,3.49,2.08
Return the Favor,1,0.43,0.39,0.15
Sudden Shock,1,0.53,0.35,0.15
Tibalt's Trickery,1,10.1,16.99,10.4
Untimely Malfunction,1,8.18,11.99,7.29
Zoyowa's Justice,1,0.31,0.35,0.15
Urza's Saga,8,41.59,49.99,39.43
"Tezzeret, Cruel Captain",4,20.2,27.99,17.69
Barbarian Ring,1,0.27,0.49,0.15
Command Beacon,3,8.62,10.99,7.29
Hammerheim,1,14.78,20.99,15.1
Holdout Settlement,1,0.23,0.39,0.15
"Kavaron, Memorial World",1,1.16,1.79,0.26
Mountain,11,1.53,0.35,0.15
Mutavault,1,6.13,6.49,3.99
"Shinka, the Bloodsoaked Keep",1,14.7,18.99,14.24
"Sokenzan, Crucible of Defiance",2,3.15,3.99,2.96
Survivors' Encampment,1,0.42,1.29,0.36
Treasure Vault,1,1.03,2.49,1.04
Volatile Fault,1,0.33,0.39,0.15
Tandem Lookout,1,0.99,1.29,0.52
Jeweled Amulet,1,8.69,9.49,7.36
Mishra's Bauble,1,2.09,2.99,1.76
Sensei's Divining Top,4,46.89,54.99,40.1
Talisman of Creativity,1,1.93,2.99,1.71
Urza's Bauble,1,8.72,7.49,5.72
Brainstorm,2,2.2,2.49,1.2
Cyclonic Rift,2,33.32,34.99,29.43
Desperate Ritual,3,5.75,6.99,6.4
Gut Shot,3,5.3,8.49,4.98
Wild Slash,1,0.26,0.35,0.15
Displacement Wave,1,0.4,0.79,0.39
Light Up the Stage,1,0.99,0.39,0.15
Ponder,1,1.88,3.99,1.9
Preordain,1,2.16,1.29,0.36
Strike It Rich,1,2.8,2.79,2.49
Timetwister,1,798.33,1099.99,989.88
Fiery Islet,1,4.04,5.49,4.06
Riverpyre Verge,1,20.32,27.99,20.1
Seat of the Synod,1,0.78,1.29,0.6
Shivan Reef,1,0.3,0.69,0.2
Cloud of Faeries,2,0.26,0.59,0.15
Displacer Kitten,3,30.87,34.99,26.8
Felidar Guardian,1,3.18,1.79,1.76
Peregrine Drake,1,0.25,0.69,0.15
Phyrexian Metamorph,3,2.39,3.99,2.29
Sowing Mycospawn,1,1.98,2.79,1.04
Spellseeker,2,15.8,24.99,16.99
Springheart Nantuko,2,4.88,6.99,4.1
Expedition Map,2,0.8,2.79,1.02
Eladamri's Call,1,10.84,13.99,9.75
Emerald Charm,1,0.1,0.35,0.15
Ephemerate,1,5.15,5.99,4.95
Louisoix's Sacrifice,1,0.43,0.49,0.15
Path to Exile,2,1.77,2.49,1.14
Reap and Sow,1,0.26,0.35,0.26
Sylvan Scrying,1,0.37,0.49,0.15
Deserted Temple,1,0.51,1.29,0.25
Dryad Arbor,2,3.55,3.99,3.63
"Minamo, School at Water's Edge",1,54.84,74.99,56.29
Temple Garden,2,7.5,9.99,7.29
"Yoshimaru, Ever Faithful",1,8.51,8.49,6.25
Dosan the Falling Leaf,1,27.68,39.99,36.54
Elves of Deep Shadow,2,2.66,3.99,2.86
Tinder Wall,1,1.76,0.99,0.91
Wild Cantor,1,0.24,0.35,0.15
Autumn's Veil,1,0.62,0.69,0.3
Manamorphose,1,4.91,5.99,4.78
Noxious Revival,2,6.93,7.99,5.39
Summoner's Pact,1,5.12,4.49,3.12
Vial Smasher the Fierce,1,2.7,2.79,1.35
Drannith Magistrate,4,14.1,16.99,9.35
Grand Arbiter Augustin IV,1,18.46,16.99,15.61
"Urza, Lord High Artificer",1,15.23,19.99,13.97
Cursed Totem,4,1.03,1.49,0.84
Talisman of Hierarchy,1,0.41,0.99,0.37
Talisman of Progress,1,0.41,0.79,0.27
Time Sieve,2,7.49,9.49,7.18
Mana Drain,1,52.66,64.99,54.26
Muddle the Mixture,1,2.52,2.79,1.85
Retraction Helix,1,0.29,0.35,0.15
Strix Serenade,1,1.8,2.79,0.52
Whir of Invention,1,6.03,7.49,5.21
Toxic Deluge,4,4.46,6.49,3.38
Blind Obedience,1,5.52,5.99,4.35
Steal Enchantment,2,8.17,5.99,8.28
Morphic Pool,3,28.96,37.99,28.13
Sea of Clouds,3,17.86,27.99,18.75
Spire of Industry,2,0.33,0.49,0.15
"Tivit, Seller of Secrets",2,3.82,6.99,3.85
Subtlety,1,15.87,17.99,13.19
Firestorm,1,53.58,9.49,9.26
Molten Disaster,1,0.52,0.99,0.45
Vision Quest,1,0.38,0.49,0.15
Curse of Opulence,1,3.27,4.49,2.57
"Ishai, Ojutai Dragonspeaker",1,5.73,4.49,3.32
Aftermath Analyst,1,0.84,1.29,0.77
Allosaurus Shepherd,1,51.17,54.99,50.38
"Ashaya, Soul of the Wild",1,16.21,17.99,14.57
Blossoming Tortoise,1,5.79,6.49,5.19
Collector Ouphe,1,3.56,3.49,2.08
Elvish Reclaimer,1,5.99,5.99,4.66
Famished Worldsire,1,2.64,3.99,2.08
Horizon Explorer,1,2.47,3.49,2.34
Icetill Explorer,1,13.92,22.99,14.51
Lotus Cobra,1,6.33,6.49,4.5
"Nissa, Resurgent Animist",1,26.56,37.99,27.6
Rootpath Purifier,1,10.67,8.99,8.8
Six,1,5.05,7.99,4.78
Sylvan Safekeeper,2,5.26,7.99,5.21
Tiller Engine,1,23.92,37.99,24.7
Amulet of Vigor,1,53.47,57.99,50.45
Null Rod,1,113.7,129.99,118.15
Trinisphere,2,29.56,42.99,30.95
Eldrazi Confluence,1,11.79,16.99,10.08
Natural Order,1,28.57,21.99,16.29
Scapeshift,1,47.06,54.99,49.15
Exploration,2,32.2,39.99,32.02
Food Chain,1,42.64,29.99,40.57
Root Maze,1,6.41,6.99,6.02
Spelunking,1,3.99,3.99,3.51
Arid Archway,1,0.62,1.29,0.61
"Boseiju, Who Shelters All",1,18.38,20.99,17.53
Buried Ruin,1,0.38,0.99,0.37
Castle Garenbrig,1,7.73,11.99,7.29
Conduit Pylons,1,0.29,0.79,0.15
Crumbling Vestige,1,0.16,0.35,0.15
Crystal Vein,3,9.47,1.99,1.78
Echoing Deeps,1,0.64,0.69,0.3
Fabled Passage,1,1.03,1.49,0.92
Field of the Dead,1,29.88,29.99,28.85
Geier Reach Sanitarium,1,2.88,3.99,1.51
Ghost Quarter,1,0.43,1.29,0.37
Havenwood Battleground,1,1.22,0.59,0.36
Hickory Woodlot,1,4.16,4.49,4.68
Horizon of Progress,1,4.68,4.99,4.59
Lazotep Quarry,1,6.27,7.99,5.41
Lotus Field,1,2.13,3.49,1.95
Mirrorpool,1,2.2,3.99,2.52
Pit of Offerings,1,0.38,0.59,0.26
Prismatic Vista,2,34.25,47.99,26.81
Sanctum of Eternity,1,8.4,13.99,7.28
Snow-Covered Forest,4,1.1,1.49,0.8
Strip Mine,1,17.42,11.99,11.97
The Mycosynth Gardens,2,0.35,0.99,0.33
The Tabernacle at Pendrell Vale,1,2899.99,4299.99,3332.31
Urza's Cave,1,1.08,2.29,0.52
Vesuva,1,2.45,4.49,2.17
Wasteland,1,13.21,14.99,9.37
"Yavimaya, Cradle of Growth",2,16.68,20.99,14.57
"Lumra, Bellow of the Woods",1,20.1,29.99,20.11
"Abigale, Eloquent First-Year",1,0.42,0.49,0.15
Archon of Emeria,2,2.1,2.49,1.01
Aven Interrupter,3,3.02,4.49,2.64
Basking Broodscale,1,0.17,0.35,0.15
Carrion Feeder,1,4.74,4.49,3.56
Eidolon of Rhetoric,2,0.62,1.29,0.6
Ethersworn Canonist,2,5.66,3.99,2.49
Faeburrow Elder,1,0.42,0.79,0.33
"Felothar, Dawn of the Abzan",1,0.28,0.49,0.15
Incubation Druid,1,1.05,1.79,0.96
Knight of the Reliquary,1,2.13,1.79,1.4
Moonshadow,1,11.45,16.99,10.11
Patrol Signaler,1,0.53,0.79,0.5
Patrolling Peacemaker,1,0.91,0.99,0.77
"Rishkar, Peema Renegade",1,0.36,0.59,0.17
Rosie Cotton of South Lane,1,0.34,0.39,0.15
Skyclave Apparition,2,0.25,0.49,0.15
Strangleroot Geist,1,0.27,0.35,0.15
Walking Ballista,3,7.41,8.99,7.17
Wall of Roots,1,0.5,0.49,0.15
Warden of the Grove,1,2.32,2.79,2.05
Young Wolf,1,0.31,0.35,0.15
Ashnod's Altar,1,15.87,16.99,7.86
Thousand-Year Elixir,1,14.3,23.99,14.58
Cryptolith Rite,1,10.44,12.99,8.55
Deafening Silence,2,2.22,1.79,1.01
Earthcraft,1,260.45,349.99,312.6
Insidious Roots,1,1.21,2.79,0.72
Leyline of Abundance,1,1.56,1.49,0.94
Survival of the Fittest,1,396.95,94.99,119.83
Centaur Garden,1,1.38,1.49,1.62
Gavony Township,1,4.84,6.99,4.88
Overgrown Tomb,2,8.93,11.99,8.83
Plains,4,0.99,0.35,0.15
"Tayam, Luminous Enigma",1,2.98,9.49,3.17
"Casey Jones, Back Alley Brute",1,0.42,0.69,0.15
Dauthi Voidwalker,2,4.02,5.49,3.23
Gleeful Arsonist,1,5.83,7.49,3.38
Kederekt Parasite,1,8.36,9.99,5.21
Kessig Flamebreather,1,3.73,5.49,3.53
Soot Imp,1,1.72,0.59,1.06
Unstable Amulet,1,0.22,0.35,0.15
Bolt Bend,1,2.48,4.99,2.75
Pyretic Ritual,2,5.4,7.99,4.65
Ricochet Trap,1,1.71,0.59,0.2
Seething Song,2,14.51,6.99,6.99
Slaughter Pact,1,1.53,1.79,1.35
Snuff Out,3,6.49,8.49,6.14
The Last Agni Kai,1,2.17,3.49,1.28
Grapeshot,1,0.33,0.59,0.15
Reckless Handling,1,0.3,0.59,0.15
Scheming Symmetry,1,7.96,11.99,8.48
All Will Be One,1,15.25,14.99,12.3
Shadow of the Goblin,1,1.1,1.49,0.25
Arena of Glory,2,7.5,11.99,6.61
Forbidden Orchard,2,9.72,11.99,7.79
Luxury Suite,2,9.32,13.99,9.53
Raucous Theater,3,9.95,15.99,9.79
"Ob Nixilis, Captive Kingpin",1,18.32,19.99,16.31
Notion Thief,1,2.46,2.49,1.03
Banishing Knack,1,4.76,1.49,1.05
Gush,1,5.1,3.49,1.67
Insidious Dreams,1,14.84,13.99,18.74
Nature's Claim,1,1.23,1.29,0.37
Worldly Tutor,1,35.65,32.99,24.71
Doomsday,1,3.27,5.49,2.94
Carpet of Flowers,1,1.65,3.49,1.54
City of Solitude,1,24.52,9.99,11.24
"Jace, Wielder of Mysteries",1,8.97,11.99,6.86
Llanowar Wastes,1,0.49,1.49,0.47
Multiversal Passage,2,6.77,10.99,5.71
Underground River,2,1.06,3.49,1.49
"Glarb, Calamity's Augur",1,3.8,3.49,3.31
Changeling Outcast,1,1.77,1.49,1.54
Dream Beavers,1,0.4,0.35,0.15
Faerie Seer,1,0.38,0.59,0.25
Gingerbrute,2,0.24,0.69,0.16
Gudul Lurker,1,0.59,1.29,0.41
"Mai, Scornful Striker",1,1.1,1.79,0.2
Mistblade Shinobi,1,2.19,1.49,0.65
Mothdust Changeling,1,0.59,1.49,0.26
Ornithopter,2,0.28,0.69,0.15
Shadow of Mortality,1,0.62,1.29,0.3
Skullsnatcher,1,0.66,0.49,0.15
"Sun Quan, Lord of Wu",1,8.12,11.99,8.73
Super Shredder,1,18.12,20.99,17.51
"Tetsuko Umezawa, Fugitive",1,0.2,0.35,0.15
Thousand-Faced Shadow,1,2.57,2.49,1.19
Throat Slitter,1,2.89,2.79,2.41
Wingcrafter,1,0.22,0.35,0.15
Key to the City,1,0.27,0.49,0.15
Mindcrank,1,7.9,10.99,8.2
