card,set,fmt,units,tcgplayer,cardkingdom,manapool
Witherbloom Charm,Secrets of Strixhaven,standard,4,0.24,0.35,0.15
Combustion Technique,Avatar: The Last Airbender,standard,11,0.24,0.35,0.15
Firebending Lesson,Avatar: The Last Airbender,standard,13,0.24,0.35,0.15
Phyrexian Revoker,Magic 2015 (M15),commander,1,0.24,0.59,0.21
"Dyadrine, Synthesis Amalgam",Promo Pack: Edge of Eternities,standard,2,0.24,0.49,0.22
Subterranean Schooner,Promo Pack: The Lost Caverns of Ixalan,standard,1,0.24,0.49,0.21
Gene Pollinator,Edge of Eternities,commander,3,0.24,0.35,0.15
Twinshot Sniper,Kamigawa: Neon Dynasty,commander,1,0.25,0.35,0.15
Command Tower,Commander: Secrets of Strixhaven,commander,22,0.25,0.69,0.23
Demolition Field,Foundations,standard,1,0.25,0.49,0.15
Spire of Industry,Aether Revolt,commander,2,0.25,0.79,0.23
White Lotus Hideout,Avatar: The Last Airbender,standard,2,0.25,0.35,0.15
Pick Your Poison,Murders at Karlov Manor,standard,2,0.25,0.35,0.15
Ornithopter,The Brothers' War: Retro Frame Artifacts,commander,2,0.25,0.69,0.26
Drift of Phantasms,Ravnica Remastered,commander,1,0.25,0.79,0.23
Lightning Helix,Ravnica Remastered,standard,2,0.25,0.39,0.15
Stalactite Dagger,Lorwyn Eclipsed,commander,1,0.26,0.35,0.15
Gingerbrute,Throne of Eldraine,commander,2,0.26,0.69,0.2
Reap and Sow,Darksteel,commander,1,0.26,0.35,0.18
"Felothar, Dawn of the Abzan",Promo Pack: Tarkir: Dragonstorm,commander,1,0.26,0.49,0.19
Iron-Shield Elf,Lorwyn Eclipsed,standard,4,0.26,0.35,0.15
Peregrine Drake,Dominaria Remastered,commander,1,0.26,0.79,0.15
Consign // Oblivion,Hour of Devastation,commander,1,0.26,0.35,0.15
Skyclave Apparition,Commander: Secrets of Strixhaven,commander,2,0.26,0.59,0.15
Origin of Metalbending,Avatar: The Last Airbender,standard,2,0.27,0.35,0.15
Impractical Joke,Secrets of Strixhaven,standard,5,0.27,0.35,0.15
Lost in the Maze,Murders at Karlov Manor,standard,2,0.27,0.49,0.15
Escape Tunnel,Murders at Karlov Manor,standard,6,0.27,0.35,0.15
Bounce Off,Aetherdrift,standard,4,0.27,0.35,0.15
Ancient Vendetta,Aetherdrift,standard,4,0.27,0.35,0.15
"Quicksilver, Brash Blur",Marvel Super Heroes,commander,5,0.27,0.49,0.15
Prismari Charm,Secrets of Strixhaven,standard,8,0.27,0.35,0.15
Liberated Dwarf,Judgment,commander,1,0.27,0.35,0.19
Llanowar Elves,Magic 2010 (M10),standard,19,0.27,0.69,0.23
"Malcolm, Keen-Eyed Navigator",Commander: The Lost Caverns of Ixalan,commander,1,0.27,0.49,0.15
Key to the City,Commander: FINAL FANTASY,commander,1,0.27,0.49,0.15
Secluded Courtyard,Commander: Marvel Super Heroes,standard,4,0.28,0.39,0.15
Vibrant Outburst,Secrets of Strixhaven,standard,1,0.28,0.35,0.15
Battlefield Forge,Commander: FINAL FANTASY,commander,1,0.28,0.69,0.15
Mind Stone,Commander 2015,commander,1,0.28,0.79,0.26
Omni-Changeling,Lorwyn Eclipsed,standard,1,0.28,0.35,0.15
Stitcher's Supplier,Commander: Tarkir: Dragonstorm,commander,1,0.28,0.79,0.15
Gumdrop Poisoner,Wilds of Eldraine,standard,1,0.28,0.49,0.15
Loyal Apprentice,Commander Masters,commander,1,0.28,0.49,0.19
Grapeshot,Dominaria Remastered,commander,1,0.28,0.69,0.15
Dwarven Grunt,Odyssey,commander,1,0.28,0.39,0.25
Barbarian Ring,Modern Horizons 3,commander,1,0.28,0.49,0.15
Strangleroot Geist,Dark Ascension,commander,1,0.28,0.35,0.15
Trickery Charm,Onslaught,commander,1,0.28,0.59,0.19
Swamp,Core Set 2021,standard,46,0.28,0.49,0.15
The Huntsman's Redemption,Promo Pack: Wilds of Eldraine,standard,4,0.29,0.49,0.27
"Zhao, the Moon Slayer",Avatar: The Last Airbender,standard,2,0.29,0.49,0.15
Zoyowa's Justice,The Lost Caverns of Ixalan,commander,1,0.29,0.35,0.15
Kishla Village,Tarkir: Dragonstorm,standard,1,0.29,0.49,0.15
Full Bore,Edge of Eternities,standard,4,0.29,0.35,0.15
Tax Collector,Universes Beyond: Assassin's Creed,commander,1,0.29,0.59,0.15
Bloodfire Dwarf,Apocalypse,commander,1,0.29,0.39,0.22
Retraction Helix,Born of the Gods,commander,1,0.29,0.35,0.15
Skirge Familiar,Modern Horizons 2,commander,1,0.29,0.99,0.15
Hidden Strings,Dragon's Maze,commander,1,0.3,0.59,0.15
Iroh's Demonstration,Avatar: The Last Airbender,standard,3,0.3,0.35,0.15
Meltstrider's Resolve,Edge of Eternities,standard,6,0.3,0.39,0.15
Mirage Mirror,Commander: Marvel Super Heroes,commander,1,0.3,0.49,0.15
Dredger's Insight,Aetherdrift,standard,4,0.3,0.99,0.15
Volatile Fault,Commander: Modern Horizons 3,commander,1,0.3,0.35,0.15
Promising Vein,The Lost Caverns of Ixalan,standard,1,0.3,0.35,0.15
Opulent Palace,Khans of Tarkir,standard,1,0.3,0.69,0.15
Rakshasa's Bargain,Tarkir: Dragonstorm,standard,4,0.3,0.35,0.15
Stingerback Terror,Outlaws of Thunder Junction,standard,2,0.3,0.49,0.15
Reckless Handling,March of the Machine: The Aftermath,commander,1,0.3,0.59,0.15
Sleight of Hand,Wilds of Eldraine,standard,8,0.3,0.35,0.15
Divergent Transformations,Commander 2016,commander,1,0.31,0.69,0.32
Transmogrify,Core Set 2021,commander,1,0.31,0.49,0.17
Tavern Scoundrel,Modern Horizons 2,commander,1,0.31,0.35,0.15
Shivan Reef,Commander: Secrets of Strixhaven,commander,1,0.31,0.79,0.28
Talisman of Progress,Commander: Marvel Super Heroes,commander,1,0.31,0.99,0.27
No More Lies,Murders at Karlov Manor,standard,6,0.31,0.79,0.15
Dispel,Return to Ravnica,commander,5,0.31,0.39,0.18
Abandon Attachments,Avatar: The Last Airbender,standard,9,0.31,0.49,0.15
Conduit Pylons,Outlaws of Thunder Junction,commander,1,0.31,0.69,0.15
Sear,Lorwyn Eclipsed,standard,13,0.31,0.35,0.15
Havenwood Battleground,Beatdown Box Set,commander,1,0.32,0.79,0.37
"Chainer, Dementia Master",Commander Masters,commander,1,0.32,0.49,0.15
Chaos Warp,Commander: FINAL FANTASY,commander,1,0.32,0.79,0.29
"Vaan, Street Thief",FINAL FANTASY,commander,1,0.32,0.49,0.15
Starfield Shepherd,Edge of Eternities,standard,4,0.32,0.69,0.15
Siren Stormtamer,The List Reprints,commander,1,0.32,1.29,0.32
Skycoach Conductor,Secrets of Strixhaven,commander,4,0.32,0.49,0.15
Vision Quest,Marvel Super Heroes,commander,1,0.32,0.49,0.15
Anointed Peacekeeper,Dominaria United,commander,1,0.32,0.49,0.15
Gran-Gran,Avatar: The Last Airbender,standard,12,0.32,0.35,0.15
Together as One,Secrets of Strixhaven,standard,1,0.32,0.49,0.15
"Mister Fantastic, Reed Richards",Marvel Super Heroes,commander,1,0.32,0.39,0.15
Confounding Conundrum,Zendikar Rising,commander,1,0.32,0.49,0.15
Sylvan Scrying,Commander: Modern Horizons 3,commander,1,0.32,0.59,0.15
"Lena, Selfless Champion",Core Set 2019,commander,1,0.33,1.29,0.31
Requisition Raid,Secrets of Strixhaven: Mystical Archive,standard,2,0.33,0.35,0.15
Enslaved Dwarf,Torment,commander,1,0.33,0.35,0.18
Unlicensed Hearse,Outlaws of Thunder Junction: Breaking News,commander,1,0.33,0.99,0.15
Ill-Timed Explosion,Murders at Karlov Manor,standard,7,0.33,0.49,0.15
"Smellerbee, Rebel Fighter",Avatar: The Last Airbender: Eternal-Legal,commander,1,0.33,0.69,0.2
Hired Claw,Bloomburrow,standard,4,0.33,0.69,0.15
Broadside Barrage,Aetherdrift,standard,1,0.33,0.59,0.15
Get Out,Duskmourn: House of Horror,standard,3,0.34,0.49,0.15
Daydream,Secrets of Strixhaven,standard,4,0.34,0.35,0.15
March of Wretched Sorrow,Kamigawa: Neon Dynasty,commander,1,0.34,0.49,0.15
Extravagant Replication,Foundations,standard,1,0.34,0.69,0.15
Bitter Triumph,Secrets of Strixhaven: Mystical Archive,standard,9,0.34,0.35,0.15
Rosie Cotton of South Lane,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,commander,1,0.34,0.39,0.15
Accumulate Wisdom,Avatar: The Last Airbender,standard,12,0.34,0.69,0.15
Dwarven Trader,Homelands,commander,1,0.34,0.39,0.15
Yavimaya Coast,Commander: Secrets of Strixhaven,commander,2,0.34,0.99,0.28
Survivors' Encampment,The List Reprints,commander,1,0.34,1.49,0.48
Springleaf Drum,Born of the Gods,commander,14,0.35,0.99,0.26
The Mycosynth Gardens,Commander: Edge of Eternities,commander,2,0.35,0.99,0.35
Nova Hellkite,Edge of Eternities,standard,4,0.35,0.49,0.15
Asmodeus the Archfiend,Adventures in the Forgotten Realms,commander,1,0.35,0.49,0.15
Roaring Furnace // Steaming Sauna,Duskmourn: House of Horror,standard,1,0.35,0.49,0.15
Faerie Seer,Foundations Jumpstart,commander,1,0.35,0.69,0.26
Greedy Freebooter,The Lost Caverns of Ixalan,commander,1,0.35,0.79,0.15
Slagstorm,Mirrodin Besieged,standard,3,0.35,0.69,0.25
Plains,Throne of Eldraine,standard,25,0.36,0.49,0.19
Ioreth of the Healing House,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,commander,1,0.36,0.79,0.15
Prized Statue,Commander Legends: Battle for Baldur's Gate,commander,1,0.36,0.79,0.29
Sage of the Skies,Promo Pack: Tarkir: Dragonstorm,standard,4,0.36,0.69,0.31
Spyglass Siren,The Lost Caverns of Ixalan,standard,3,0.36,0.35,0.15
Aqueous Form,Theros,commander,1,0.37,0.99,0.32
Final Parting,Dominaria,commander,1,0.37,0.59,0.38
Lifecraft Engine,Aetherdrift,commander,1,0.37,0.49,0.15
Devoted Druid,Commander: Lorwyn Eclipsed,commander,2,0.37,0.99,0.37
Firdoch Core,Lorwyn Eclipsed,commander,1,0.37,0.39,0.15
Crippling Fear,Kaldheim,commander,1,0.37,1.29,0.26
Hearth Elemental,Wilds of Eldraine,standard,4,0.37,0.69,0.15
Shoot the Sheriff,Outlaws of Thunder Junction,standard,8,0.38,0.99,0.15
Buried Ruin,Commander: Edge of Eternities,commander,1,0.38,0.99,0.38
Faeburrow Elder,Commander: Bloomburrow,commander,1,0.38,0.99,0.34
Skullsnatcher,The List Reprints,commander,1,0.38,0.49,0.15
Vile Entomber,Modern Horizons 2,commander,1,0.38,0.79,0.15
Pit of Offerings,The Lost Caverns of Ixalan,standard,4,0.38,0.59,0.23
Rockface Village,Bloomburrow,standard,3,0.38,0.35,0.15
Cori Mountain Monastery,Promo Pack: Tarkir: Dragonstorm,standard,3,0.39,2.79,0.8200000000000001
Sevinne's Reclamation,Modern Horizons 3,commander,7,0.39,0.99,0.15
Fatal Push,Universes Beyond: Assassin's Creed,commander,1,0.39,0.99,0.15
Awaken the Honored Dead,Promo Pack: Tarkir: Dragonstorm,standard,4,0.39,0.79,0.4
Elvish Mystic,Magic 2015 (M15),commander,2,0.39,1.29,0.26
Pithing Needle,Innistrad: Midnight Hunt,commander,1,0.39,0.79,0.34
Talisman of Curiosity,Commander: Aetherdrift,commander,1,0.39,0.99,0.2
Mothdust Changeling,The List Reprints,commander,1,0.39,1.49,0.2
Burnout Bashtronaut,Aetherdrift,standard,4,0.39,0.69,0.15
Glen Elendra Guardian,Lorwyn Eclipsed,standard,2,0.4,0.49,0.15
Outrageous Robbery,Murders at Karlov Manor,standard,2,0.4,0.79,0.25
Restless Vinestalk,Wilds of Eldraine,standard,1,0.4,0.69,0.15
Displacement Wave,Magic Origins,commander,1,0.4,0.79,0.32
Inevitable Defeat,Promo Pack: Tarkir: Dragonstorm,standard,6,0.4,0.79,0.2
Louisoix's Sacrifice,FINAL FANTASY,commander,1,0.4,0.49,0.15
Deadly Cover-Up,Murders at Karlov Manor,standard,11,0.4,0.79,0.21
Mountain,Unsanctioned,standard,35,0.4,0.49,0.31
Hardened Academic,Secrets of Strixhaven,standard,4,0.4,0.49,0.15
Momentum Breaker,Aetherdrift,standard,2,0.4,0.39,0.15
"Sandman, Shifting Scoundrel",Marvel's Spider-Man,standard,1,0.4,0.49,0.15
Dream Beavers,Teenage Mutant Ninja Turtles,standard,6,0.4,0.35,0.15
Talisman of Hierarchy,Commander: Secrets of Strixhaven,commander,1,0.41,1.49,0.4
Floodpits Drowner,Duskmourn: House of Horror,standard,8,0.41,0.69,0.15
Ricochet Trap,The List Reprints,commander,1,0.41,0.49,0.2
"Casey Jones, Back Alley Brute",Commander: Teenage Mutant Ninja Turtles,commander,1,0.41,0.69,0.15
Avacyn's Pilgrim,Innistrad,commander,3,0.41,1.49,0.34
Signal Pest,Mirrodin Besieged,commander,1,0.42,0.99,0.32
Cut Down,Dominaria United,commander,1,0.42,0.79,0.18
Island,Guilds of Ravnica,standard,49,0.42,0.49,0.15
Spell Snare,Lorwyn Eclipsed,standard,6,0.42,0.79,0.15
Reckless Fireweaver,Commander: Aetherdrift,commander,1,0.43,1.29,0.2
Ornithopter of Paradise,Commander: Aetherdrift,commander,1,0.43,1.29,0.2
Ghost Quarter,Commander: The Lord of the Rings: Tales of Middle-earth,commander,1,0.43,1.29,0.42
"Abigale, Eloquent First-Year",Lorwyn Eclipsed,commander,1,0.43,0.49,0.15
Return the Favor,Secrets of Strixhaven: Mystical Archive,commander,2,0.43,0.39,0.15
Archmage Emeritus,Commander: Tarkir: Dragonstorm,commander,1,0.44,1.79,0.46
"Tam, Mindful First-Year",Lorwyn Eclipsed,commander,1,0.44,0.59,0.15
Snapback,Time Spiral: Remastered,commander,4,0.44,0.99,0.3
"Lavinia, Azorius Renegade",Ravnica Allegiance,commander,1,0.44,0.99,0.39
Gudul Lurker,The List Reprints,commander,1,0.44,1.29,0.41
Dramatic Reversal,Avatar: The Last Airbender: Eternal-Legal,commander,3,0.44,0.99,0.26
Molten Disaster,Commander 2013,commander,1,0.44,0.99,0.32
"Momo, Friendly Flier",Avatar: The Last Airbender,standard,4,0.44,0.69,0.15
Eclipsed Realms,Lorwyn Eclipsed,standard,1,0.45,0.99,0.15
"Thalia, Guardian of Thraben",Innistrad: Crimson Vow,commander,1,0.45,0.49,0.36
"Hawkeye, Master Marksman",Marvel Super Heroes,standard,2,0.45,0.49,0.15
Seam Rip,Edge of Eternities,standard,7,0.45,0.99,0.15
Goblin Rabblemaster,Foundations Jumpstart,commander,1,0.45,1.49,0.36
Requiting Hex,Lorwyn Eclipsed,standard,23,0.45,0.99,0.15
Arcane Signet,Starter Commander Decks,commander,19,0.46,0.99,0.46
"Surrak, Elusive Hunter",Promo Pack: Tarkir: Dragonstorm,standard,9,0.46,0.99,0.5
Ominous Harvest,Commander: Secrets of Strixhaven,commander,1,0.46,0.49,0.15
Forest,Guilds of Ravnica,standard,44,0.47,0.49,0.25
Preordain,Commander: Tarkir: Dragonstorm,commander,1,0.47,1.29,0.53
Llanowar Wastes,Commander: Duskmourn: House of Horror,commander,1,0.47,1.29,0.51
Colossal Skyturtle,Kamigawa: Neon Dynasty,commander,1,0.48,0.69,0.31
Marauding Mako,Aetherdrift,standard,3,0.49,1.29,0.35
Price of Freedom,Avatar: The Last Airbender,standard,8,0.49,1.79,0.15
Werefox Bodyguard,Wilds of Eldraine,standard,1,0.49,0.59,0.16
Culling Ritual,Commander: Secrets of Strixhaven,commander,3,0.49,0.59,0.26
Battered Golem,Fifth Dawn,commander,1,0.49,0.69,0.22
Metallic Mimic,Commander: Marvel Super Heroes,commander,1,0.5,1.29,0.36
Blood Pet,7th Edition,commander,1,0.51,1.49,0.37
Bringer of the Last Gift,The Lost Caverns of Ixalan,standard,4,0.51,0.59,0.26
Colorstorm Stallion,Secrets of Strixhaven,standard,10,0.51,0.49,0.15
Nowhere to Run,Duskmourn: House of Horror,standard,6,0.51,0.79,0.15
Reality Scramble,The List Reprints,commander,1,0.51,0.79,0.31
Leyline of the Void,Promo Pack: Duskmourn: House of Horror,commander,1,0.52,1.79,0.51
Sire of Insanity,Dragon's Maze,commander,1,0.52,0.79,0.39
Pawpatch Recruit,Bloomburrow,standard,7,0.53,0.99,0.17
Patrol Signaler,Eventide,commander,1,0.53,0.79,0.21
Infernal Plunge,Innistrad,commander,5,0.54,0.69,0.4
Ashling's Command,Lorwyn Eclipsed,standard,1,0.54,0.99,0.26
Soulstone Sanctuary,Foundations,standard,5,0.55,0.99,0.17
Deserted Temple,Modern Horizons 3,commander,1,0.57,1.29,0.23
The Jolly Balloon Man,Promo Pack: Duskmourn: House of Horror,commander,1,0.57,0.99,0.56
Universal Automaton,Modern Horizons,commander,2,0.57,0.99,0.41
Traumatic Critique,Secrets of Strixhaven,standard,5,0.58,0.49,0.15
"Lukka, Coppercoat Outcast",Ikoria: Lair of Behemoths,commander,1,0.58,0.99,0.47
Trophy Mage,Aether Revolt,commander,1,0.59,1.79,0.51
Waterlogged Grove,Universes Beyond: Doctor Who,commander,1,0.6,1.79,0.65
Smuggler's Copter,The List Reprints,commander,1,0.6,1.49,0.45
"Rionya, Fire Dancer",Commander: Secrets of Strixhaven,commander,1,0.61,0.49,0.2
Shadow of Mortality,Streets of New Capenna,commander,1,0.61,1.29,0.2
Eidolon of Rhetoric,Journey Into Nyx,commander,2,0.62,1.29,0.45
Arid Archway,Outlaws of Thunder Junction,commander,1,0.62,1.29,0.59
Aven Mindcensor,The List Reprints,commander,1,0.62,0.79,0.47
Echoing Deeps,The Lost Caverns of Ixalan,commander,1,0.64,0.99,0.27
Bloodghast,Commander: Secrets of Strixhaven,standard,4,0.65,0.99,0.51
Boomerang Basics,Avatar: The Last Airbender,standard,7,0.67,1.29,0.15
God-Pharaoh's Statue,The List Reprints,commander,1,0.67,1.49,0.52
Autumn's Veil,Magic 2012 (M12),commander,1,0.67,0.69,0.29
Starscape Cleric,Bloomburrow,standard,2,0.68,1.79,0.38
Curiosity,Innistrad,commander,2,0.69,1.79,0.52
"Magda, the Hoardmaster",Outlaws of Thunder Junction,commander,1,0.69,1.79,0.15
Seat of the Synod,Foundations Jumpstart,commander,1,0.7,1.79,0.5
Weftstalker Ardent,Edge of Eternities,commander,1,0.7,2.29,0.41
Neoform,War of the Spark,commander,1,0.73,0.99,0.15
Great Hall of the Biblioplex,Secrets of Strixhaven,standard,18,0.74,0.49,0.15
Blasphemous Act,Commander: Secrets of Strixhaven,commander,1,0.75,2.29,0.71
Damping Sphere,Dominaria Remastered,commander,3,0.75,1.29,0.6
Fellwar Stone,Commander: Secrets of Strixhaven,commander,7,0.75,1.79,0.66
Petrified Hamlet,Secrets of Strixhaven,standard,5,0.76,0.49,0.15
Lightning Bolt,Commander: Marvel Super Heroes,commander,3,0.78,1.99,0.63
"K'rrik, Son of Yawgmoth",Modern Horizons 3,commander,1,0.78,1.49,0.32
Spirit of the Labyrinth,Born of the Gods,commander,1,0.78,0.79,0.43
"Cecil, Dark Knight",FINAL FANTASY,standard,3,0.78,0.79,0.15
"Hammerhead, Maggia Boss",Commander: Marvel Super Heroes,commander,1,0.79,0.79,0.48
Snow-Covered Mountain,Modern Horizons,commander,1,0.81,0.99,0.72
Combat Celebrant,Foundations Jumpstart,commander,1,0.81,2.29,0.8300000000000001
Buried Alive,Modern Horizons 3,commander,1,0.81,1.99,0.35
Hydroelectric Specimen,Modern Horizons 3,commander,1,0.82,1.79,0.52
Esper Origins,FINAL FANTASY,standard,2,0.82,0.79,0.22
"Moseo, Vein's New Dean",Secrets of Strixhaven,standard,1,0.82,0.49,0.2
"Oko, Lorwyn Liege",Lorwyn Eclipsed,standard,1,0.83,0.99,0.33
"Kavaron, Memorial World",Promo Pack: Edge of Eternities,commander,5,0.83,1.99,1.26
Strategic Betrayal,Tarkir: Dragonstorm,standard,12,0.83,0.79,0.15
Aftermath Analyst,Murders at Karlov Manor,commander,1,0.84,1.29,0.61
Talisman of Indulgence,Commander: Marvel Super Heroes,commander,3,0.85,2.79,0.89
Practiced Offense,Promo Pack: Secrets of Strixhaven,standard,16,0.86,2.29,0.72
Talisman of Dominance,Commander: Marvel Super Heroes,commander,3,0.87,2.49,0.86
Tandem Lookout,Modern Masters 2017,commander,1,0.87,1.29,0.72
"Leatherhead, Swamp Stalker",Teenage Mutant Ninja Turtles,standard,7,0.89,0.79,0.15
Rest in Peace,Universes Beyond: Assassin's Creed,standard,12,0.89,1.79,0.16
Oath of Teferi,Dominaria,commander,1,0.9,0.79,0.43
Patrolling Peacemaker,Commander: Edge of Eternities,commander,1,0.9,0.99,0.78
Boggart Trawler,Modern Horizons 3,commander,1,0.91,2.29,0.68
Doomsday Excruciator,Duskmourn: House of Horror,standard,4,0.91,0.99,0.2
Day of Judgment,Foundations,standard,4,0.91,1.29,0.26
Gray Merchant of Asphodel,Theros Beyond Death,commander,1,0.91,2.29,0.67
Dreamroot Cascade,Commander: Tarkir: Dragonstorm,standard,5,0.92,1.49,0.67
Ertai Resurrected,Dominaria United,commander,1,0.93,1.29,0.71
Sundering Eruption,Modern Horizons 3,commander,1,0.94,1.99,0.87
Concealed Courtyard,Kaladesh,standard,3,0.95,1.99,0.76
Emberheart Challenger,Bloomburrow,standard,4,0.96,1.79,0.28
Fabled Passage,Commander: Marvel Super Heroes,standard,11,0.96,1.49,0.92
"Leonardo, Cutting Edge",Teenage Mutant Ninja Turtles,standard,1,0.97,1.29,0.3
Touch the Spirit Realm,Kamigawa: Neon Dynasty,commander,4,0.97,1.29,0.64
"Ashling, Rekindled",Lorwyn Eclipsed,standard,8,0.98,0.99,0.45
Fire Magic,FINAL FANTASY,standard,4,0.98,1.29,0.15
Ignoble Hierarch,The List Reprints,commander,2,0.98,2.29,1.02
Relic of Legends,Commander: Marvel Super Heroes,commander,4,0.99,1.99,0.72
Gravecrawler,Commander: Aetherdrift,commander,1,1.0,1.99,0.7000000000000001
Sazh's Chocobo,FINAL FANTASY,standard,8,1.0,0.49,0.15
Lumbering Worldwagon,Aetherdrift,standard,1,1.0,1.29,0.2
