name,units,tcgplayer,cardkingdom,manapool
Snow-Covered Mountain,1,0.8,0.79,0.72
Combat Celebrant,1,0.81,2.29,0.67
Buried Alive,1,0.82,1.99,0.52
"Kavaron, Memorial World",1,0.83,1.79,0.26
Aftermath Analyst,1,0.84,1.29,0.77
Talisman of Indulgence,3,0.85,2.79,1.91
Tandem Lookout,1,0.87,1.29,0.52
Talisman of Dominance,3,0.87,2.49,0.86
Oath of Teferi,1,0.9,0.79,0.44
Patrolling Peacemaker,1,0.91,0.99,0.77
Ertai Resurrected,1,0.91,0.99,0.31
Touch the Spirit Realm,4,0.91,1.29,0.86
Gray Merchant of Asphodel,1,0.92,2.29,0.76
Avengers Disassembled,1,0.97,3.49,0.48
Ignoble Hierarch,2,0.98,1.99,0.83
Fire Magic,1,0.98,1.29,0.15
Relic of Legends,4,0.99,1.99,0.72
Fabled Passage,1,0.99,1.49,0.92
Gravecrawler,1,0.99,1.99,0.63
Path to Exile,2,1.03,2.49,1.14
Cursed Totem,4,1.03,1.49,0.84
Treasure Vault,1,1.03,2.49,1.04
Snow-Covered Swamp,2,1.04,0.79,0.61
Incubation Druid,1,1.05,1.79,0.96
Blood Celebrant,1,1.06,0.99,0.64
Underground River,2,1.06,3.49,1.49
Sulfurous Springs,1,1.06,1.79,1.18
Nature's Claim,1,1.07,1.29,0.37
Urza's Cave,1,1.08,2.29,0.52
Shadow of the Goblin,1,1.1,1.49,0.25
Snow-Covered Forest,4,1.1,1.49,0.8
"Mai, Scornful Striker",1,1.1,1.79,0.2
Glen Elendra's Answer,1,1.13,0.99,0.46
"Veyran, Voice of Duality",1,1.14,3.99,0.65
Swords to Plowshares,6,1.16,2.29,1.29
Mistblade Shinobi,1,1.18,1.49,0.65
Daze,3,1.19,2.29,0.87
Insidious Roots,1,1.21,2.79,0.72
Eternal Witness,3,1.24,1.49,1.26
Notion Thief,1,1.27,2.49,1.03
Slaughter Pact,1,1.28,1.79,1.35
Maskwood Nexus,1,1.29,1.99,1.13
Soulless Jailer,1,1.29,2.29,1.12
Brainstorm,2,1.31,2.49,1.2
Storm-Kiln Artist,4,1.31,2.29,1.35
"Ashiok, Dream Render",1,1.32,1.29,0.61
Centaur Garden,1,1.38,1.49,1.62
Sol Ring,25,1.38,2.29,1.35
Disruptor Flute,1,1.4,2.99,0.88
Leyline of Abundance,1,1.41,1.49,0.94
Burnt Offering,1,1.42,1.29,1.37
Heartless Summoning,1,1.43,1.99,0.92
Peter Parker's Camera,1,1.44,1.99,1.04
Persist,1,1.44,1.79,0.78
Botanical Sanctum,1,1.45,2.29,0.95
Soot Imp,1,1.45,0.59,1.06
Manifold Key,1,1.46,2.29,1.17
Surgical Extraction,1,1.47,3.49,0.78
Blue Elemental Blast,1,1.49,1.29,1.1
Saheeli Rai,1,1.51,1.99,1.36
Fyndhorn Elves,3,1.52,3.99,2.0
Ponder,1,1.55,3.99,1.9
Knight of the Reliquary,1,1.55,1.79,1.4
Dragon's Rage Channeler,1,1.56,1.79,0.61
Sculpting Steel,1,1.56,2.99,1.81
Wishclaw Talisman,11,1.57,3.49,2.04
Flare of Duplication,6,1.57,2.29,0.72
Abrupt Decay,2,1.59,2.29,1.04
Geier Reach Sanitarium,1,1.6,3.99,1.51
Biomancer's Familiar,2,1.63,2.99,1.23
Warden of the Grove,1,1.64,2.79,2.05
Shred Memory,1,1.64,0.79,0.64
Carpet of Flowers,1,1.65,3.49,1.54
The Unagi of Kyoshi Island,1,1.66,2.49,0.72
Pyrokinesis,1,1.66,3.49,2.08
Muddle the Mixture,1,1.66,2.79,1.85
Spider-Sense,1,1.67,2.79,1.17
"Gogo, Mysterious Mime",1,1.69,2.79,1.47
"Krark, the Thumbless",1,1.7,1.99,1.04
Phyrexian Walker,1,1.73,2.79,1.65
Talisman of Creativity,1,1.74,2.99,1.71
Copy Enchantment,2,1.76,2.29,1.04
Tinder Wall,1,1.76,0.99,0.91
Lively Dirge,1,1.77,2.99,1.76
Changeling Outcast,1,1.77,1.49,1.54
"Tyvar, Jubilant Brawler",2,1.79,1.99,1.04
Strix Serenade,1,1.8,2.79,0.52
Snow-Covered Island,1,1.83,1.99,1.29
Blinkmoth Nexus,1,1.87,0.99,0.79
Archon of Emeria,2,1.91,2.49,1.01
Thousand-Faced Shadow,1,1.92,2.49,1.19
Flare of Malice,1,1.97,2.99,1.33
Ghostly Pilferer,1,1.97,3.49,1.92
Sowing Mycospawn,1,1.98,2.79,1.04
Clarion Conqueror,1,2.04,3.49,1.56
Galvanic Blast,1,2.08,2.99,1.87
Mishra's Bauble,1,2.09,2.99,1.76
Lotus Field,1,2.11,3.49,1.95
Oboro Breezecaller,2,2.12,0.99,1.52
Great Furnace,4,2.12,3.49,2.36
Narset's Reversal,1,2.15,2.99,1.3
The Last Agni Kai,1,2.17,3.49,1.28
Mirrorpool,1,2.2,3.99,2.52
Deafening Silence,2,2.22,1.79,1.01
Goblin Bombardment,1,2.27,3.99,2.39
Vexing Bauble,9,2.32,4.49,1.67
Ruthless Technomancer,1,2.34,4.99,2.43
"Rograkh, Son of Rohgahh",4,2.36,2.99,2.07
Commandeer,7,2.38,4.49,1.82
Phyrexian Metamorph,3,2.39,3.99,2.29
"Sokenzan, Crucible of Defiance",2,2.42,3.99,2.96
Vesuva,1,2.45,4.49,2.17
Howlsquad Heavy,1,2.46,3.99,1.5
Horizon Explorer,1,2.47,3.49,2.34
Bolt Bend,1,2.48,4.99,2.75
Mirrormade,5,2.49,3.99,1.54
Necrodominance,4,2.51,4.99,1.8
An Offer You Can't Refuse,11,2.51,4.49,2.24
Spark Mage,1,2.52,3.49,2.58
Clever Impersonator,3,2.53,4.99,2.43
"Sisay, Weatherlight Captain",1,2.54,2.79,2.19
Into the Flood Maw,7,2.56,3.99,1.92
Curse of Opulence,1,2.56,4.49,2.57
Gush,1,2.57,3.49,1.67
"Magda, Brazen Outlaw",4,2.61,3.49,2.6
Dizzy Spell,2,2.63,2.49,2.28
Famished Worldsire,1,2.64,3.99,2.08
"Aminatou, the Fateshifter",1,2.64,3.99,2.88
Baleful Mastery,1,2.65,2.99,1.87
Elves of Deep Shadow,2,2.66,3.99,2.86
Angel's Grace,3,2.66,3.99,2.56
Ainok Strike Leader,1,2.68,4.49,2.34
Vial Smasher the Fierce,1,2.7,2.79,1.35
Dark Petition,1,2.72,6.49,2.62
Necrotic Ooze,1,2.76,2.29,1.89
Temporal Trespass,1,2.78,4.99,2.55
Strike It Rich,1,2.8,2.79,2.49
Throat Slitter,1,2.89,2.79,2.41
Simian Spirit Guide,14,2.89,3.99,3.25
Grafdigger's Cage,4,2.89,3.49,2.08
Unmarked Grave,1,2.9,3.99,2.59
Hazel's Brewmaster,1,2.96,3.99,1.85
"Tayam, Luminous Enigma",1,2.98,9.49,3.17
Memnite,3,2.98,2.79,1.64
"Marvin, Murderous Mimic",2,2.99,4.99,3.32
Dark Ritual,15,3.0,4.49,3.63
Aven Interrupter,3,3.02,4.49,2.64
Hope of Ghirapur,2,3.03,2.99,2.03
Elvish Spirit Guide,6,3.04,2.49,2.44
Brain Freeze,9,3.13,4.49,2.75
Dismember,2,3.15,3.49,1.88
Peer into the Abyss,2,3.15,3.99,2.59
"Teferi, Who Slows the Sunset",1,3.17,5.49,3.46
"Skrelv, Defector Mite",1,3.18,4.99,3.02
Felidar Guardian,1,3.18,1.79,1.76
Harmonic Prodigy,1,3.21,5.49,3.17
Doomsday,1,3.27,5.49,2.94
Snap,3,3.31,3.99,3.06
Crop Rotation,5,3.31,3.49,3.07
Mockingbird,11,3.33,4.99,2.95
Legion Extruder,1,3.34,4.99,3.17
From the Ashes,1,3.38,2.79,2.45
Gemstone Mine,4,3.4,4.49,2.04
Red Elemental Blast,11,3.41,4.99,3.48
"Selvala, Heart of the Wilds",1,3.45,5.49,3.38
Aether Vial,1,3.45,3.49,1.77
"Yuriko, the Tiger's Shadow",1,3.5,2.99,3.01
Obliterate,1,3.51,3.99,2.83
Dryad Arbor,2,3.55,3.99,3.63
Collector Ouphe,1,3.56,3.49,2.08
Basalt Monolith,2,3.58,4.99,3.09
Valley Floodcaller,12,3.6,5.49,3.6
Flare of Denial,1,3.61,5.49,3.02
"Braids, Arisen Nightmare",1,3.62,5.99,4.06
Eldritch Evolution,2,3.63,5.49,2.98
Swift Reconfiguration,2,3.65,5.49,4.15
Toxic Deluge,4,3.65,6.49,3.38
Voltaic Key,1,3.67,0.99,0.66
Rejuvenating Springs,1,3.72,6.99,3.9
Kessig Flamebreather,1,3.73,5.49,3.53
Mutavault,1,3.76,6.49,3.99
Endurance,2,3.78,6.99,3.61
Thran Dynamo,1,3.79,3.99,2.13
Submerge,1,3.79,4.99,3.13
"Glarb, Calamity's Augur",1,3.8,3.49,3.31
"Tivit, Seller of Secrets",2,3.82,6.99,3.85
Veil of Summer,3,3.87,6.49,3.11
Clock of Omens,1,3.92,5.99,3.73
Carrion Feeder,1,3.93,4.49,3.56
Emergence Zone,8,3.93,5.99,3.74
Bottle-Cap Blast,1,3.95,5.99,2.34
Dwarven Armorer,1,3.96,5.99,2.51
Spelunking,1,3.99,3.99,3.51
Gitaxian Probe,6,3.99,4.99,3.34
Dauthi Voidwalker,2,4.02,5.49,3.23
Fiery Islet,1,4.04,5.49,4.06
Borne Upon a Wind,12,4.11,4.99,3.83
Liquimetal Torque,1,4.11,4.49,2.95
Magus of the Moon,1,4.13,4.49,3.89
Hickory Woodlot,1,4.16,4.49,4.68
Hydroblast,1,4.16,2.99,2.41
"Winota, Joiner of Forces",1,4.31,4.49,2.08
Blind Obedience,1,4.32,5.99,4.35
Phantasmal Image,1,4.43,6.49,4.31
Temporal Mastery,1,4.49,5.49,3.59
Nature's Rhythm,7,4.49,6.99,4.07
"Nicol Bolas, Dragon-God",1,4.54,3.99,3.42
"Karn, the Great Creator",1,4.55,5.99,3.57
Manamorphose,1,4.58,5.99,4.78
High Fae Trickster,6,4.59,8.99,4.27
Horizon of Progress,1,4.68,4.99,4.59
Windfall,2,4.71,6.99,4.57
Root Maze,1,4.71,6.99,6.02
Beseech the Queen,1,4.72,4.99,4.16
Banishing Knack,1,4.76,1.49,1.05
The Darkness Crystal,1,4.79,5.99,4.06
Summoner's Pact,1,4.81,4.49,3.12
Six,1,4.81,7.99,4.78
Gavony Township,1,4.84,6.99,4.88
Pyretic Ritual,2,4.85,7.99,4.65
Torpor Orb,2,4.87,6.99,3.91
Animate Dead,1,4.87,6.99,5.0
"Phelia, Exuberant Shepherd",1,4.87,8.49,3.64
Springheart Nantuko,2,4.88,6.99,4.1
Gifts Ungiven,4,4.98,5.49,4.53
"Kediss, Emberclaw Familiar",1,5.0,8.99,5.43
Orim's Chant,3,5.01,8.99,4.86
Blade Historian,1,5.03,7.99,5.09
Shifting Woodland,4,5.11,7.49,3.64
Saw in Half,1,5.13,6.99,4.78
Ephemerate,1,5.15,5.99,4.95
"Eiganjo, Seat of the Empire",1,5.16,9.99,5.75
Gut Shot,3,5.18,8.49,4.98
Last Chance,3,5.19,4.49,2.62
"Niv-Mizzet, Parun",1,5.19,5.99,5.06
Sylvan Safekeeper,2,5.26,7.99,5.21
Crystal Vein,3,5.29,1.99,1.78
Sudden Substitution,1,5.31,6.99,5.15
Professor Onyx,2,5.39,7.99,5.36
Counterbalance,3,5.43,3.99,2.69
Hoarding Broodlord,1,5.55,7.49,4.58
Professional Face-Breaker,6,5.57,7.99,5.39
Ethersworn Canonist,2,5.66,3.99,2.49
"Bruse Tarl, Boorish Herder",1,5.67,3.49,1.22
Lotus Cobra,1,5.67,6.49,4.5
Hullbreaker Horror,2,5.68,8.49,5.86
"Ishai, Ojutai Dragonspeaker",1,5.73,4.49,3.32
Desperate Ritual,3,5.75,6.99,6.4
"Boromir, Warden of the Tower",1,5.79,7.99,5.41
Blossoming Tortoise,1,5.79,6.49,5.19
Gleeful Arsonist,1,5.83,7.49,3.38
Fleshwrither,1,5.84,4.49,2.51
Rite of Flame,12,5.94,5.99,5.19
Chord of Calling,6,5.95,7.99,5.47
Elvish Reclaimer,1,5.99,5.99,4.66
Dwarven Bloodboiler,1,5.99,9.49,6.7
Whir of Invention,1,6.03,7.49,5.21
"Teferi, Time Raveler",2,6.23,7.49,5.51
Lazotep Quarry,1,6.27,7.99,5.41
Snuff Out,3,6.34,8.49,6.14
Pollywog Prodigy,1,6.39,10.99,6.03
Defense Grid,4,6.41,6.49,6.76
Spectator Seating,1,6.43,8.99,6.63
Urza's Bauble,1,6.49,7.49,5.72
Hallowed Fountain,5,6.49,10.99,6.72
Imp's Mischief,1,6.53,9.49,6.75
Twincast,1,6.55,9.49,7.6
Willowrush Verge,1,6.66,9.99,5.8
Imposter Mech,1,6.66,11.99,6.76
Rain of Filth,5,6.75,8.99,4.86
Multiversal Passage,2,6.77,10.99,5.71
Archivist of Oghma,2,6.87,9.49,6.4
Blood Moon,1,6.91,9.49,7.49
Noxious Revival,2,6.93,7.99,5.39
Cool but Rude,2,7.01,12.99,7.13
Deathrite Shaman,5,7.01,5.99,5.75
Flusterstorm,17,7.03,7.49,6.18
Force of Despair,1,7.14,6.99,8.22
Time Sieve,2,7.17,9.49,7.18
Kederekt Parasite,1,7.2,9.99,5.21
Silence,10,7.23,11.99,7.81
Stranglehold,1,7.24,8.49,9.12
"Derevi, Empyrial Tactician",2,7.3,8.49,6.13
Sacrifice,2,7.35,5.49,4.27
"Tevesh Szat, Doom of Fools",1,7.35,7.99,7.29
Arena of Glory,2,7.37,11.99,6.61
"Nezahal, Primal Tide",1,7.4,11.99,7.81
Walking Ballista,3,7.41,8.99,7.17
Xorn,1,7.43,9.99,7.5
Temple Garden,2,7.46,9.99,7.29
Command Beacon,3,7.49,10.99,7.29
Mount Doom,3,7.5,9.49,7.41
Culling the Weak,11,7.59,9.99,7.29
"Sidisi, Undead Vizier",1,7.59,8.99,7.14
Training Grounds,2,7.71,11.99,7.29
Reanimate,2,7.72,11.99,7.32
Castle Garenbrig,1,7.73,11.99,7.29
Formidable Speaker,4,7.73,10.99,7.11
Flesh Duplicate,3,7.77,7.99,8.01
Wheel of Misfortune,2,7.8,10.99,7.8
Starting Town,9,7.83,10.99,7.43
"Chimil, the Inner Sun",1,7.89,8.99,7.74
Mindcrank,1,7.9,10.99,8.2
Breath of Fury,1,7.95,12.99,8.37
Pyroblast,8,7.96,4.49,2.98
Scheming Symmetry,1,7.96,11.99,8.48
Demonic Consultation,12,7.99,8.99,5.21
Force of Vigor,2,8.04,7.49,3.9
"Sun Quan, Lord of Wu",1,8.12,11.99,8.73
Steal Enchantment,2,8.17,5.99,8.28
Untimely Malfunction,1,8.18,11.99,7.29
Glint-Horn Buccaneer,1,8.27,12.99,6.32
Tataru Taru,9,8.4,9.99,8.3
Sanctum of Eternity,1,8.4,13.99,7.28
Paradise Mantle,4,8.49,10.99,7.48
"Yoshimaru, Ever Faithful",1,8.51,8.49,6.25
Chain of Smog,2,8.53,9.49,6.35
Mental Misstep,17,8.62,7.99,6.08
Mnemonic Betrayal,6,8.62,9.49,8.33
Jeweled Amulet,1,8.69,9.49,7.36
Swan Song,13,8.71,13.99,8.66
Deep Gnome Terramancer,1,8.77,8.99,7.05
Overgrown Tomb,2,8.93,11.99,8.83
"Jace, Wielder of Mysteries",1,8.97,11.99,6.86
"Kraum, Ludevic's Opus",2,8.98,2.99,2.37
Godless Shrine,4,9.01,13.99,8.23
Blood Crypt,6,9.06,12.99,9.37
Watery Grave,7,9.07,14.99,9.27
Birds of Paradise,7,9.12,12.99,5.48
Mystic Remora,17,9.16,11.99,10.31
"Vilis, Broker of Blood",1,9.19,13.99,7.57
Mindbreak Trap,17,9.23,10.99,6.76
Luxury Suite,2,9.32,13.99,9.53
"Kaito, Bane of Nightmares",1,9.39,16.99,8.33
Breeding Pool,3,9.41,14.99,8.28
"Chandra, Awakened Inferno",1,9.5,13.99,8.28
"Silas Renn, Seeker Adept",3,9.63,2.29,1.68
Forbidden Orchard,2,9.72,11.99,7.79
Underworld Breach,11,9.89,10.99,7.8
Goblin Engineer,2,9.94,10.99,9.35
Raucous Theater,3,9.95,15.99,9.79
Redirect Lightning,7,9.99,16.99,9.74
Sacred Foundry,3,10.04,14.99,9.37
Black Market Connections,1,10.07,15.99,12.62
Tibalt's Trickery,1,10.1,16.99,10.4
Gloomlake Verge,1,10.26,12.99,9.1
Cryptolith Rite,1,10.44,12.99,8.55
Noble Hierarch,3,10.59,14.99,10.96
Ophidian Eye,2,10.59,13.99,11.21
Eladamri's Call,1,10.62,13.99,9.75
Rootpath Purifier,1,10.67,8.99,8.8
Ad Nauseam,9,10.84,9.99,10.42
Jet Medallion,1,10.99,15.99,10.57
Clown Car,1,11.0,16.99,11.24
Praetor's Grasp,7,11.03,15.99,11.45
Giver of Runes,1,11.14,11.99,9.45
Faerie Mastermind,10,11.17,14.99,9.88
"Shang-Chi, Master of Kung Fu",2,11.25,16.99,10.72
Seething Song,2,11.27,6.99,6.99
Windswept Heath,12,11.38,12.99,9.37
Moonshadow,1,11.45,16.99,10.11
Steam Vents,4,11.52,17.99,11.45
"Takenuma, Abandoned Mire",1,11.56,16.99,10.93
Misdirection,5,11.73,16.99,11.46
Eldrazi Confluence,1,11.79,16.99,10.08
"Lotho, Corrupt Shirriff",7,11.89,16.99,12.34
Strip Mine,1,12.0,11.99,11.97
City of Brass,20,12.07,15.99,10.24
Balthor the Defiled,1,12.17,10.99,12.68
Trickbind,1,12.35,10.99,8.86
Emiel the Blessed,2,12.55,12.99,13.28
Idyllic Tutor,2,12.55,13.99,11.72
Contamination,1,12.61,8.49,4.11
Enduring Vitality,4,12.65,16.99,15.1
Sphere of Resistance,1,12.79,11.99,13.53
Bloom Tender,2,12.86,16.99,13.01
Abhorrent Oculus,1,13.15,21.99,13.8
Cabal Ritual,12,13.16,18.99,13.54
Wasteland,1,13.21,14.99,9.37
Chain of Vapor,9,13.35,10.99,9.77
Disrupting Shoal,2,13.49,14.99,14.21
"Kinnan, Bonder Prodigy",2,13.54,17.99,13.51
Undercity Sewers,5,13.56,15.99,8.67
"Razaketh, the Foulblooded",1,13.58,14.99,12.85
"Valgavoth, Terror Eater",1,13.85,21.99,14.84
Icetill Explorer,1,13.92,22.99,14.51
"Dihada, Binder of Wills",1,13.98,24.99,14.32
Imperial Recruiter,2,13.98,16.99,13.46
Warren Soultrader,1,14.06,20.99,13.79
Drannith Magistrate,4,14.1,16.99,9.35
Thousand-Year Elixir,1,14.28,23.99,14.58
Cave-In,1,14.33,20.99,20.82
Ashnod's Altar,1,14.37,16.99,7.86
Vault of Champions,1,14.39,18.99,16.01
"Yavimaya, Cradle of Growth",2,14.53,20.99,14.57
Flooded Strand,18,14.7,18.99,14.06
